"","AC.PA.Open","AC.PA.High","AC.PA.Low","AC.PA.Close","AC.PA.Volume","AC.PA.Adjusted"
"2010-01-04",26.836,27.406799,26.793699,27.406799,868105,21.193743
"2010-01-05",27.346901,27.4139,26.920601,27.2377,1864574,21.062981
"2010-01-06",27.1038,27.202499,26.247601,26.9135,3764554,20.812273
"2010-01-07",26.818399,26.818399,26.402599,26.6387,1365276,20.599775
"2010-01-08",26.8113,26.903,26.466,26.6563,1108050,20.61338
"2010-01-11",26.857201,26.857201,26.469601,26.4872,1979136,20.482615
"2010-01-12",26.247601,26.251101,25.8001,25.9023,1681042,20.030315
"2010-01-13",25.8001,26.053801,25.792999,26.014999,1124199,20.117466
"2010-01-14",26.2159,26.4519,26.082001,26.279301,1167684,20.32185
"2010-01-15",26.4097,26.790199,25.9622,26.1031,1360741,20.185589
"2010-01-18",26.2969,26.6457,26.0397,26.3568,871984,20.381779
"2010-01-19",26.314501,26.3568,25.7719,26.208799,1058124,20.267326
"2010-01-20",25.895201,26.705601,25.888201,26.2299,1568329,20.283649
"2010-01-21",26.399099,26.903,26.1313,26.1595,1386363,20.229206
"2010-01-22",26.1348,26.1383,25.5252,25.7225,1345072,19.891272
"2010-01-25",25.532301,25.9727,25.5147,25.733101,889084,19.899471
"2010-01-26",25.4688,25.694401,25.2715,25.6873,806762,19.864054
"2010-01-27",25.4266,25.8106,25.1588,25.7085,1377441,19.880447
"2010-01-28",25.958599,26.0961,25.5287,25.542801,1059393,19.75231
"2010-01-29",25.697901,26.0326,25.5569,25.792999,807009,19.945789
"2010-02-01",25.6521,25.979799,25.623899,25.8529,691301,19.992111
"2010-02-02",25.8071,26.374399,25.6908,26.1947,901877,20.256424
"2010-02-03",26.370899,26.370899,25.733101,25.8494,1036187,19.989407
"2010-02-04",25.895201,26.0749,25.063601,25.172899,1609776,19.466263
"2010-02-05",25.091801,25.1094,24.249701,24.404699,2291295,18.872213
"2010-02-08",24.531601,24.6161,24.059401,24.3659,1311946,18.842209
"2010-02-09",24.3836,24.6161,24.1721,24.454,1299068,18.910337
"2010-02-10",24.665501,25.010799,24.573799,24.757099,913959,19.144726
"2010-02-11",24.8839,24.9967,24.242599,24.594999,1189830,19.019373
"2010-02-12",24.7817,24.950899,24.320101,24.4223,1419204,18.885824
"2010-02-15",24.5457,24.707701,24.320101,24.372999,701067,18.847698
"2010-02-16",24.6796,25.0002,24.4505,24.728901,1388838,19.122917
"2010-02-17",25.0812,25.860001,25.0425,25.7789,1983566,19.934885
"2010-02-18",25.7684,25.983299,25.475901,25.8388,1077183,19.981205
"2010-02-19",25.736601,26.3286,25.719,26.3286,1519427,20.35997
"2010-02-22",26.3568,26.4132,25.7719,25.792999,1207518,19.945789
"2010-02-23",25.8424,26.243999,25.6168,25.697901,1648354,19.872248
"2010-02-24",25.7225,26.8466,25.7225,26.145399,3232757,20.218302
"2010-02-25",26.0714,26.6493,25.9058,26.124201,1499281,20.201908
"2010-02-26",26.392,26.392,25.796499,26.177099,1309499,20.242819
"2010-03-01",26.237,27.0474,26.1877,27.0263,1625906,20.899506
"2010-03-02",27.0369,27.7663,26.9946,27.7486,1991866,21.458061
"2010-03-03",27.6147,28.009399,27.558399,27.9601,1548564,21.621616
"2010-03-04",27.815599,28.012899,27.343399,27.558399,1540725,21.310978
"2010-03-05",27.7134,27.8755,27.597099,27.8332,1242777,21.523483
"2010-03-08",27.861401,27.9424,27.6077,27.783899,648008,21.485357
"2010-03-09",27.8015,27.861401,27.4174,27.695801,860767,21.417233
"2010-03-10",27.657,27.731001,27.0263,27.427999,1696127,21.21014
"2010-03-11",27.364599,27.8262,27.364599,27.755699,1018849,21.463549
"2010-03-12",27.822599,27.977699,27.6782,27.7486,1372758,21.458061
"2010-03-15",27.625299,27.868401,27.5865,27.7134,741816,21.43084
"2010-03-16",27.8367,28.3265,27.787399,28.1609,1000383,21.776892
"2010-03-17",28.245501,28.865601,28.241899,28.759899,1524712,22.240099
"2010-03-18",28.7141,28.996,28.5555,28.625999,1304113,22.136557
"2010-03-19",28.752899,28.893801,28.3265,28.400499,1337427,21.962177
"2010-03-22",28.3864,28.393499,27.819099,28.1292,973105,21.752378
"2010-03-23",28.118601,28.953699,28.090401,28.8727,1320434,22.32733
"2010-03-24",28.8692,29.1052,28.4498,28.703501,763588,22.196486
"2010-03-25",28.816299,29.0277,28.693001,28.9044,803443,22.351843
"2010-03-26",28.893801,28.893801,28.6542,28.886801,474193,22.338234
"2010-03-29",29.0172,29.140499,28.812799,29.0947,860512,22.499002
"2010-03-30",29.1616,29.1616,28.784599,28.855101,761470,22.313723
"2010-03-31",28.731701,29.2391,28.6472,28.865601,1228942,22.321842
"2010-04-01",29.2215,30.116501,29.1546,29.9086,2109342,23.128391
"2010-04-06",29.950899,30.7649,29.884001,30.5711,2033422,23.640705
"2010-04-07",30.5182,30.701401,30.275101,30.6098,926587,23.670635
"2010-04-08",30.5394,30.750799,29.855801,30.246901,1064592,23.390005
"2010-04-09",30.430099,31.2089,30.398399,31.1278,1611714,24.071205
"2010-04-12",31.339199,31.452,31.149,31.3533,1030146,24.245586
"2010-04-13",31.117201,31.2547,30.6098,30.694401,1825496,23.736057
"2010-04-14",30.7754,30.895201,30.271601,30.49,1189828,23.577991
"2010-04-15",30.5182,30.662701,30.334999,30.5781,942677,23.646118
"2010-04-16",30.468901,30.525299,30.120001,30.120001,1581392,23.291872
"2010-04-19",29.972,30.239799,29.728901,29.947399,1138298,23.158398
"2010-04-20",29.8804,30.0637,29.7747,30.049601,795739,23.237432
"2010-04-21",30.9375,31.1807,30.3456,30.3738,1779620,23.488134
"2010-04-22",30.440701,30.7754,30.0214,30.1835,1431899,23.340975
"2010-04-23",30.169399,31.057301,30.0249,30.916401,1103447,23.90773
"2010-04-26",31.1208,31.674,31.1208,31.4625,1392466,24.330029
"2010-04-27",31.497801,31.497801,30.5499,30.5499,997593,23.624313
"2010-04-28",30.303301,30.4231,29.394199,29.4646,1750974,22.785046
"2010-04-29",29.6126,30.507601,29.249701,30.4618,1378840,23.556187
"2010-04-30",30.4618,30.821301,30.194,30.2962,1107157,23.428125
"2010-05-03",30.049601,30.525299,29.813499,30.525299,839362,23.605289
"2010-05-04",30.623899,30.719101,29.3519,29.4506,1362721,22.77422
