date,E3M
1999-01-01,3.245
1999-01-04,3.234
1999-01-05,3.222
1999-01-06,3.214
1999-01-07,3.206
1999-01-08,3.196
1999-01-11,3.193
1999-01-12,3.190
1999-01-13,3.183
1999-01-14,3.163
1999-01-15,3.134
1999-01-18,3.102
1999-01-19,3.056
1999-01-20,3.054
1999-01-21,3.056
1999-01-22,3.059
1999-01-25,3.069
1999-01-26,3.080
1999-01-27,3.080
1999-01-28,3.077
1999-01-29,3.074
1999-02-01,3.078
1999-02-02,3.091
1999-02-03,3.098
1999-02-04,3.105
1999-02-05,3.107
1999-02-08,3.113
1999-02-09,3.112
1999-02-10,3.109
1999-02-11,3.106
1999-02-12,3.100
1999-02-15,3.099
1999-02-16,3.092
1999-02-17,3.086
1999-02-18,3.079
1999-02-19,3.077
1999-02-22,3.075
1999-02-23,3.076
1999-02-24,3.079
1999-02-25,3.087
1999-02-26,3.098
1999-03-01,3.099
1999-03-02,3.115
1999-03-03,3.112
1999-03-04,3.111
1999-03-05,3.104
1999-03-08,3.093
1999-03-09,3.087
1999-03-10,3.081
1999-03-11,3.074
1999-03-12,3.047
1999-03-15,3.039
1999-03-16,3.036
1999-03-17,3.038
1999-03-18,3.032
1999-03-19,3.027
1999-03-22,3.020
1999-03-23,3.019
1999-03-24,3.014
1999-03-25,2.998
1999-03-26,2.991
1999-03-29,2.985
1999-03-30,2.981
1999-03-31,2.971
1999-04-01,2.942
1999-04-02,2.929
1999-04-05,2.929
1999-04-06,2.905
1999-04-07,2.900
1999-04-08,2.895
1999-04-09,2.660
1999-04-12,2.661
1999-04-13,2.651
1999-04-14,2.637
1999-04-15,2.628
1999-04-16,2.626
1999-04-19,2.621
1999-04-20,2.610
1999-04-21,2.601
1999-04-22,2.596
1999-04-23,2.594
1999-04-26,2.591
1999-04-27,2.590
1999-04-28,2.588
1999-04-29,2.585
1999-04-30,2.583
1999-05-03,2.583
1999-05-04,2.581
1999-05-05,2.581
1999-05-06,2.579
1999-05-07,2.581
1999-05-10,2.582
1999-05-11,2.579
1999-05-12,2.578
1999-05-14,2.570
1999-05-17,2.575
1999-05-18,2.576
1999-05-19,2.583
1999-05-20,2.584
1999-05-21,2.581
1999-05-24,2.579
1999-05-25,2.579
1999-05-26,2.577
1999-05-27,2.577
1999-05-28,2.578
1999-05-31,2.578
1999-06-01,2.585
1999-06-02,2.601
1999-06-03,2.597
1999-06-04,2.597
1999-06-07,2.602
1999-06-08,2.600
1999-06-09,2.603
1999-06-10,2.605
1999-06-11,2.619
1999-06-14,2.623
1999-06-15,2.625
1999-06-16,2.628
1999-06-17,2.632
1999-06-18,2.632
1999-06-21,2.637
1999-06-22,2.645
1999-06-23,2.647
1999-06-24,2.649
1999-06-25,2.660
1999-06-28,2.664
1999-06-29,2.667
1999-06-30,2.669
1999-07-01,2.655
1999-07-02,2.663
1999-07-05,2.662
1999-07-06,2.663
1999-07-07,2.663
1999-07-08,2.664
1999-07-09,2.665
1999-07-12,2.665
1999-07-13,2.666
1999-07-14,2.664
1999-07-15,2.663
1999-07-16,2.693
1999-07-19,2.699
1999-07-20,2.703
1999-07-21,2.697
1999-07-22,2.681
1999-07-23,2.685
1999-07-26,2.685
1999-07-27,2.685
1999-07-28,2.685
1999-07-29,2.686
1999-07-30,2.690
1999-08-02,2.697
1999-08-03,2.705
1999-08-04,2.702
1999-08-05,2.701
1999-08-06,2.699
1999-08-09,2.703
1999-08-10,2.704
1999-08-11,2.703
1999-08-12,2.703
1999-08-13,2.704
1999-08-16,2.704
1999-08-17,2.702
1999-08-18,2.678
1999-08-19,2.677
1999-08-20,2.684
1999-08-23,2.684
1999-08-24,2.686
1999-08-25,2.686
1999-08-26,2.686
1999-08-27,2.691
1999-08-30,2.695
1999-08-31,2.697
1999-09-01,2.699
1999-09-02,2.698
1999-09-03,2.696
1999-09-06,2.690
1999-09-07,2.688
1999-09-08,2.687
1999-09-09,2.689
1999-09-10,2.692
1999-09-13,2.693
1999-09-14,2.690
1999-09-15,2.690
1999-09-16,2.690
1999-09-17,2.687
1999-09-20,2.681
1999-09-21,2.684
1999-09-22,2.687
1999-09-23,2.698
1999-09-24,2.690
1999-09-27,2.690
1999-09-28,2.698
1999-09-29,3.084
1999-09-30,3.086
1999-10-01,3.126
1999-10-04,3.225
1999-10-05,3.252
1999-10-06,3.292
1999-10-07,3.317
1999-10-08,3.263
1999-10-11,3.277
1999-10-12,3.298
1999-10-13,3.358
1999-10-14,3.379
1999-10-15,3.429
1999-10-18,3.433
1999-10-19,3.429
1999-10-20,3.450
1999-10-21,3.474
1999-10-22,3.457
1999-10-25,3.451
1999-10-26,3.485
1999-10-27,3.501
1999-10-28,3.502
1999-10-29,3.491
1999-11-01,3.501
1999-11-02,3.528
1999-11-03,3.531
1999-11-04,3.517
1999-11-05,3.505
1999-11-08,3.492
1999-11-09,3.461
1999-11-10,3.461
1999-11-11,3.462
1999-11-12,3.452
1999-11-15,3.449
1999-11-16,3.449
1999-11-17,3.449
1999-11-18,3.450
1999-11-19,3.450
1999-11-22,3.453
1999-11-23,3.451
1999-11-24,3.446
1999-11-25,3.444
1999-11-26,3.445
1999-11-29,3.445
1999-11-30,3.448
1999-12-01,3.450
1999-12-02,3.451
1999-12-03,3.454
1999-12-06,3.459
1999-12-07,3.461
1999-12-08,3.461
1999-12-09,3.461
1999-12-10,3.457
1999-12-13,3.455
1999-12-14,3.456
1999-12-15,3.456
1999-12-16,3.458
1999-12-17,3.465
1999-12-20,3.466
1999-12-21,3.466
1999-12-22,3.458
1999-12-23,3.447
1999-12-24,3.449
1999-12-27,3.450
1999-12-28,3.449
1999-12-29,3.345
1999-12-30,3.339
2000-01-03,3.338
2000-01-04,3.343
2000-01-05,3.341
2000-01-06,3.331
2000-01-07,3.322
2000-01-10,3.317
2000-01-11,3.315
2000-01-12,3.322
2000-01-13,3.322
2000-01-14,3.321
2000-01-17,3.316
2000-01-18,3.313
2000-01-19,3.308
2000-01-20,3.310
2000-01-21,3.310
2000-01-24,3.317
2000-01-25,3.322
2000-01-26,3.332
2000-01-27,3.428
2000-01-28,3.486
2000-01-31,3.492
2000-02-01,3.496
2000-02-02,3.489
2000-02-03,3.498
2000-02-04,3.493
2000-02-07,3.496
2000-02-08,3.496
2000-02-09,3.492
2000-02-10,3.487
2000-02-11,3.491
2000-02-14,3.490
2000-02-15,3.487
2000-02-16,3.488
2000-02-17,3.489
2000-02-18,3.531
2000-02-21,3.612
2000-02-22,3.625
2000-02-23,3.632
2000-02-24,3.632
2000-02-25,3.598
2000-02-28,3.616
2000-02-29,3.634
2000-03-01,3.633
2000-03-02,3.642
2000-03-03,3.632
2000-03-06,3.640
2000-03-07,3.646
2000-03-08,3.669
2000-03-09,3.714
2000-03-10,3.736
2000-03-13,3.779
2000-03-14,3.786
2000-03-15,3.794
2000-03-16,3.805
2000-03-17,3.771
2000-03-20,3.769
2000-03-21,3.766
2000-03-22,3.766
2000-03-23,3.767
2000-03-24,3.772
2000-03-27,3.797
2000-03-28,3.812
2000-03-29,3.821
2000-03-30,3.834
2000-03-31,3.831
2000-04-03,3.833
2000-04-04,3.834
2000-04-05,3.832
2000-04-06,3.834
2000-04-07,3.861
2000-04-10,3.876
2000-04-11,3.901
2000-04-12,3.917
2000-04-13,3.923
2000-04-14,3.920
2000-04-17,3.918
2000-04-18,3.937
2000-04-19,3.948
2000-04-20,3.963
2000-04-25,3.998
2000-04-26,4.036
2000-04-27,4.030
2000-04-28,4.094
2000-05-02,4.104
2000-05-03,4.183
2000-05-04,4.289
2000-05-05,4.323
2000-05-08,4.314
2000-05-09,4.319
2000-05-10,4.303
2000-05-11,4.288
2000-05-12,4.328
2000-05-15,4.329
2000-05-16,4.336
2000-05-17,4.432
2000-05-18,4.476
2000-05-19,4.461
2000-05-22,4.481
2000-05-23,4.471
2000-05-24,4.448
2000-05-25,4.428
2000-05-26,4.401
2000-05-29,4.397
2000-05-30,4.401
2000-05-31,4.453
2000-06-01,4.467
2000-06-02,4.465
2000-06-05,4.427
2000-06-06,4.428
2000-06-07,4.412
2000-06-08,4.416
2000-06-09,4.552
2000-06-12,4.549
2000-06-13,4.548
2000-06-14,4.534
2000-06-15,4.506
2000-06-16,4.476
2000-06-19,4.470
2000-06-20,4.486
2000-06-21,4.518
2000-06-22,4.518
2000-06-23,4.529
2000-06-26,4.544
2000-06-27,4.551
2000-06-28,4.547
2000-06-29,4.548
2000-06-30,4.547
2000-07-03,4.551
2000-07-04,4.547
2000-07-05,4.544
2000-07-06,4.535
2000-07-07,4.538
2000-07-10,4.537
2000-07-11,4.539
2000-07-12,4.541
2000-07-13,4.548
2000-07-14,4.558
2000-07-17,4.562
2000-07-18,4.566
2000-07-19,4.625
2000-07-20,4.636
2000-07-21,4.624
2000-07-24,4.624
2000-07-25,4.626
2000-07-26,4.631
2000-07-27,4.630
2000-07-28,4.638
2000-07-31,4.641
2000-08-01,4.636
2000-08-02,4.639
2000-08-03,4.642
2000-08-04,4.644
2000-08-07,4.639
2000-08-08,4.637
2000-08-09,4.644
2000-08-10,4.648
2000-08-11,4.711
2000-08-14,4.784
2000-08-15,4.786
2000-08-16,4.824
2000-08-17,4.841
2000-08-18,4.832
2000-08-21,4.844
2000-08-22,4.871
2000-08-23,4.870
2000-08-24,4.864
2000-08-25,4.902
2000-08-28,4.919
2000-08-29,4.915
2000-08-30,4.893
2000-08-31,4.888
2000-09-01,4.829
2000-09-04,4.816
2000-09-05,4.824
2000-09-06,4.833
2000-09-07,4.870
2000-09-08,4.860
2000-09-11,4.863
2000-09-12,4.861
2000-09-13,4.846
2000-09-14,4.831
2000-09-15,4.809
2000-09-18,4.816
2000-09-19,4.816
2000-09-20,4.818
2000-09-21,4.815
2000-09-22,4.811
2000-09-25,4.827
2000-09-26,4.884
2000-09-27,4.885
2000-09-28,4.999
2000-09-29,4.996
2000-10-02,4.991
2000-10-03,4.985
2000-10-04,4.981
2000-10-05,4.981
2000-10-06,5.021
2000-10-09,5.020
2000-10-10,5.016
2000-10-11,5.007
2000-10-12,5.007
2000-10-13,4.990
2000-10-16,5.009
2000-10-17,5.018
2000-10-18,5.016
2000-10-19,5.025
2000-10-20,5.039
2000-10-23,5.064
2000-10-24,5.100
2000-10-25,5.103
2000-10-26,5.125
2000-10-27,5.132
2000-10-30,5.138
2000-10-31,5.140
2000-11-01,5.137
2000-11-02,5.125
2000-11-03,5.125
2000-11-06,5.122
2000-11-07,5.119
2000-11-08,5.122
2000-11-09,5.123
2000-11-10,5.112
2000-11-13,5.106
2000-11-14,5.094
2000-11-15,5.085
2000-11-16,5.078
2000-11-17,5.062
2000-11-20,5.061
2000-11-21,5.070
2000-11-22,5.072
2000-11-23,5.070
2000-11-24,5.071
2000-11-27,5.075
2000-11-28,5.074
2000-11-29,5.069
2000-11-30,5.051
2000-12-01,5.021
2000-12-04,5.012
2000-12-05,5.006
2000-12-06,4.972
2000-12-07,4.956
2000-12-08,4.956
2000-12-11,4.967
2000-12-12,4.967
2000-12-13,4.966
2000-12-14,4.953
2000-12-15,4.949
2000-12-18,4.933
2000-12-19,4.916
2000-12-20,4.905
2000-12-21,4.892
2000-12-22,4.879
2000-12-27,4.880
2000-12-28,4.859
2000-12-29,4.855
2001-01-02,4.844
2001-01-03,4.806
2001-01-04,4.741
2001-01-05,4.701
2001-01-08,4.687
2001-01-09,4.711
2001-01-10,4.775
2001-01-11,4.797
2001-01-12,4.800
2001-01-15,4.815
2001-01-16,4.801
2001-01-17,4.795
2001-01-18,4.778
2001-01-19,4.763
2001-01-22,4.757
2001-01-23,4.756
2001-01-24,4.767
2001-01-25,4.768
2001-01-26,4.784
2001-01-29,4.785
2001-01-30,4.781
2001-01-31,4.744
2001-02-01,4.714
2001-02-02,4.724
2001-02-05,4.728
2001-02-06,4.725
2001-02-07,4.727
2001-02-08,4.731
2001-02-09,4.734
2001-02-12,4.734
2001-02-13,4.733
2001-02-14,4.743
2001-02-15,4.747
2001-02-16,4.752
2001-02-19,4.759
2001-02-20,4.779
2001-02-21,4.789
2001-02-22,4.798
2001-02-23,4.807
2001-02-26,4.811
2001-02-27,4.810
2001-02-28,4.771
2001-03-01,4.756
2001-03-02,4.761
2001-03-05,4.761
2001-03-06,4.771
2001-03-07,4.776
2001-03-08,4.778
2001-03-09,4.782
2001-03-12,4.784
2001-03-13,4.783
2001-03-14,4.784
2001-03-15,4.767
2001-03-16,4.769
2001-03-19,4.769
2001-03-20,4.766
2001-03-21,4.753
2001-03-22,4.649
2001-03-23,4.574
2001-03-26,4.566
2001-03-27,4.560
2001-03-28,4.566
2001-03-29,4.554
2001-03-30,4.561
2001-04-02,4.571
2001-04-03,4.586
2001-04-04,4.572
2001-04-05,4.573
2001-04-06,4.574
2001-04-09,4.559
2001-04-10,4.554
2001-04-11,4.583
2001-04-12,4.742
2001-04-17,4.765
2001-04-18,4.779
2001-04-19,4.677
2001-04-20,4.765
2001-04-23,4.754
2001-04-24,4.773
2001-04-25,4.780
2001-04-26,4.779
2001-04-27,4.770
2001-04-30,4.802
2001-05-02,4.817
2001-05-03,4.820
2001-05-04,4.814
2001-05-07,4.804
2001-05-08,4.801
2001-05-09,4.793
2001-05-10,4.766
2001-05-11,4.563
2001-05-14,4.572
2001-05-15,4.572
2001-05-16,4.567
2001-05-17,4.564
2001-05-18,4.557
2001-05-21,4.557
2001-05-22,4.555
2001-05-23,4.563
2001-05-24,4.559
2001-05-25,4.564
2001-05-28,4.564
2001-05-29,4.560
2001-05-30,4.544
2001-05-31,4.531
2001-06-01,4.513
2001-06-04,4.496
2001-06-05,4.486
2001-06-06,4.449
2001-06-07,4.433
2001-06-08,4.451
2001-06-11,4.451
2001-06-12,4.449
2001-06-13,4.470
2001-06-14,4.474
2001-06-15,4.465
2001-06-18,4.464
2001-06-19,4.462
2001-06-20,4.452
2001-06-21,4.433
2001-06-22,4.433
2001-06-25,4.432
2001-06-26,4.426
2001-06-27,4.435
2001-06-28,4.410
2001-06-29,4.441
2001-07-02,4.435
2001-07-03,4.416
2001-07-04,4.448
2001-07-05,4.446
2001-07-06,4.471
2001-07-09,4.482
2001-07-10,4.499
2001-07-11,4.487
2001-07-12,4.487
2001-07-13,4.484
2001-07-16,4.486
2001-07-17,4.483
2001-07-18,4.483
2001-07-19,4.466
2001-07-20,4.475
2001-07-23,4.474
2001-07-24,4.469
2001-07-25,4.466
2001-07-26,4.464
2001-07-27,4.457
2001-07-30,4.455
2001-07-31,4.444
2001-08-01,4.429
2001-08-02,4.415
2001-08-03,4.433
2001-08-06,4.425
2001-08-07,4.425
2001-08-08,4.431
2001-08-09,4.410
2001-08-10,4.382
2001-08-13,4.362
2001-08-14,4.360
2001-08-15,4.357
2001-08-16,4.346
2001-08-17,4.345
2001-08-20,4.335
2001-08-21,4.325
2001-08-22,4.308
2001-08-23,4.313
2001-08-24,4.311
2001-08-27,4.315
2001-08-28,4.305
2001-08-29,4.270
2001-08-30,4.276
2001-08-31,4.253
2001-09-03,4.254
2001-09-04,4.258
2001-09-05,4.276
2001-09-06,4.279
2001-09-07,4.264
2001-09-10,4.242
2001-09-11,4.242
2001-09-12,4.176
2001-09-13,4.165
2001-09-14,4.160
2001-09-17,4.137
2001-09-18,3.779
2001-09-19,3.760
2001-09-20,3.701
2001-09-21,3.690
2001-09-24,3.661
2001-09-25,3.654
2001-09-26,3.648
2001-09-27,3.655
2001-09-28,3.656
2001-10-01,3.656
2001-10-02,3.651
2001-10-03,3.622
2001-10-04,3.598
2001-10-05,3.558
2001-10-08,3.557
2001-10-09,3.582
2001-10-10,3.624
2001-10-11,3.614
2001-10-12,3.656
2001-10-15,3.636
2001-10-16,3.626
2001-10-17,3.645
2001-10-18,3.633
2001-10-19,3.607
2001-10-22,3.580
2001-10-23,3.579
2001-10-24,3.575
2001-10-25,3.563
2001-10-26,3.579
2001-10-29,3.576
2001-10-30,3.558
2001-10-31,3.522
2001-11-01,3.512
2001-11-02,3.499
2001-11-05,3.491
2001-11-06,3.467
2001-11-07,3.371
2001-11-08,3.324
2001-11-09,3.342
2001-11-12,3.350
2001-11-13,3.351
2001-11-14,3.338
2001-11-15,3.359
2001-11-16,3.383
2001-11-19,3.373
2001-11-20,3.349
2001-11-21,3.363
2001-11-22,3.380
2001-11-23,3.375
2001-11-26,3.369
2001-11-27,3.377
2001-11-28,3.376
2001-11-29,3.376
2001-11-30,3.360
2001-12-03,3.346
2001-12-04,3.348
2001-12-05,3.348
2001-12-06,3.364
2001-12-07,3.370
2001-12-10,3.360
2001-12-11,3.351
2001-12-12,3.351
2001-12-13,3.342
2001-12-14,3.346
2001-12-17,3.349
2001-12-18,3.350
2001-12-19,3.348
2001-12-20,3.343
2001-12-21,3.339
2001-12-24,3.340
2001-12-27,3.319
2001-12-28,3.294
2002-01-02,3.279
2002-01-03,3.272
2002-01-04,3.292
2002-01-07,3.312
2002-01-08,3.311
2002-01-09,3.325
2002-01-10,3.338
2002-01-11,3.345
2002-01-14,3.331
2002-01-15,3.329
2002-01-16,3.335
2002-01-17,3.344
2002-01-18,3.345
2002-01-21,3.346
2002-01-22,3.349
2002-01-23,3.361
2002-01-24,3.369
2002-01-25,3.378
2002-01-28,3.381
2002-01-29,3.378
2002-01-30,3.362
2002-01-31,3.371
2002-02-01,3.375
2002-02-04,3.364
2002-02-05,3.357
2002-02-06,3.353
2002-02-07,3.347
2002-02-08,3.353
2002-02-11,3.354
2002-02-12,3.352
2002-02-13,3.358
2002-02-14,3.358
2002-02-15,3.354
2002-02-18,3.352
2002-02-19,3.352
2002-02-20,3.352
2002-02-21,3.354
2002-02-22,3.355
2002-02-25,3.354
2002-02-26,3.365
2002-02-27,3.367
2002-02-28,3.366
2002-03-01,3.367
2002-03-04,3.370
2002-03-05,3.369
2002-03-06,3.369
2002-03-07,3.368
2002-03-08,3.374
2002-03-11,3.374
2002-03-12,3.374
2002-03-13,3.374
2002-03-14,3.379
2002-03-15,3.381
2002-03-18,3.381
2002-03-19,3.382
2002-03-20,3.382
2002-03-21,3.393
2002-03-22,3.401
2002-03-25,3.428
2002-03-26,3.452
2002-03-27,3.450
2002-03-28,3.448
2002-04-02,3.446
2002-04-03,3.441
2002-04-04,3.435
2002-04-05,3.430
2002-04-08,3.422
2002-04-09,3.426
2002-04-10,3.413
2002-04-11,3.414
2002-04-12,3.411
2002-04-15,3.408
2002-04-16,3.399
2002-04-17,3.395
2002-04-18,3.393
2002-04-19,3.388
2002-04-22,3.389
2002-04-23,3.392
2002-04-24,3.393
2002-04-25,3.387
2002-04-26,3.392
2002-04-29,3.386
2002-04-30,3.385
2002-05-02,3.383
2002-05-03,3.417
2002-05-06,3.416
2002-05-07,3.414
2002-05-08,3.417
2002-05-09,3.428
2002-05-10,3.427
2002-05-13,3.430
2002-05-14,3.474
2002-05-15,3.498
2002-05-16,3.497
2002-05-17,3.526
2002-05-20,3.524
2002-05-21,3.524
2002-05-22,3.487
2002-05-23,3.483
2002-05-24,3.483
2002-05-27,3.482
2002-05-28,3.497
2002-05-29,3.497
2002-05-30,3.488
2002-05-31,3.485
2002-06-03,3.483
2002-06-04,3.475
2002-06-05,3.473
2002-06-06,3.475
2002-06-07,3.466
2002-06-10,3.469
2002-06-11,3.466
2002-06-12,3.466
2002-06-13,3.470
2002-06-14,3.468
2002-06-17,3.465
2002-06-18,3.465
2002-06-19,3.467
2002-06-20,3.467
2002-06-21,3.467
2002-06-24,3.463
2002-06-25,3.461
2002-06-26,3.433
2002-06-27,3.440
2002-06-28,3.441
2002-07-01,3.438
2002-07-02,3.437
2002-07-03,3.431
2002-07-04,3.438
2002-07-05,3.439
2002-07-08,3.438
2002-07-09,3.435
2002-07-10,3.424
2002-07-11,3.414
2002-07-12,3.413
2002-07-15,3.413
2002-07-16,3.414
2002-07-17,3.407
2002-07-18,3.405
2002-07-19,3.403
2002-07-22,3.401
2002-07-23,3.402
2002-07-24,3.383
2002-07-25,3.386
2002-07-26,3.381
2002-07-29,3.373
2002-07-30,3.378
2002-07-31,3.377
2002-08-01,3.371
2002-08-02,3.361
2002-08-05,3.347
2002-08-06,3.329
2002-08-07,3.338
2002-08-08,3.336
2002-08-09,3.342
2002-08-12,3.340
2002-08-13,3.340
2002-08-14,3.326
2002-08-15,3.338
2002-08-16,3.351
2002-08-19,3.360
2002-08-20,3.353
2002-08-21,3.353
2002-08-22,3.369
2002-08-23,3.368
2002-08-26,3.368
2002-08-27,3.367
2002-08-28,3.367
2002-08-29,3.360
2002-08-30,3.358
2002-09-02,3.351
2002-09-03,3.341
2002-09-04,3.326
2002-09-05,3.314
2002-09-06,3.306
2002-09-09,3.316
2002-09-10,3.317
2002-09-11,3.315
2002-09-12,3.315
2002-09-13,3.312
2002-09-16,3.313
2002-09-17,3.314
2002-09-18,3.308
2002-09-19,3.307
2002-09-20,3.300
2002-09-23,3.297
2002-09-24,3.292
2002-09-25,3.287
2002-09-26,3.288
2002-09-27,3.297
2002-09-30,3.297
2002-10-01,3.279
2002-10-02,3.283
2002-10-03,3.265
2002-10-04,3.254
2002-10-07,3.211
2002-10-08,3.228
2002-10-09,3.230
2002-10-10,3.226
2002-10-11,3.259
2002-10-14,3.274
2002-10-15,3.281
2002-10-16,3.301
2002-10-17,3.313
2002-10-18,3.292
2002-10-21,3.263
2002-10-22,3.258
2002-10-23,3.250
2002-10-24,3.240
2002-10-25,3.253
2002-10-28,3.267
2002-10-29,3.272
2002-10-30,3.251
2002-10-31,3.259
2002-11-01,3.236
2002-11-04,3.233
2002-11-05,3.212
2002-11-06,3.214
2002-11-07,3.136
2002-11-08,3.209
2002-11-11,3.187
2002-11-12,3.174
2002-11-13,3.143
2002-11-14,3.124
2002-11-15,3.124
2002-11-18,3.100
2002-11-19,3.092
2002-11-20,3.079
2002-11-21,3.045
2002-11-22,3.043
2002-11-25,3.053
2002-11-26,3.054
2002-11-27,3.047
2002-11-28,3.055
2002-11-29,3.047
2002-12-02,3.036
2002-12-03,3.026
2002-12-04,2.989
2002-12-05,2.967
2002-12-06,2.916
2002-12-09,2.916
2002-12-10,2.918
2002-12-11,2.923
2002-12-12,2.930
2002-12-13,2.939
2002-12-16,2.942
2002-12-17,2.941
2002-12-18,2.940
2002-12-19,2.939
2002-12-20,2.943
2002-12-23,2.949
2002-12-24,2.945
2002-12-27,2.930
2002-12-30,2.867
2002-12-31,2.865
2003-01-02,2.861
2003-01-03,2.863
2003-01-06,2.860
2003-01-07,2.859
2003-01-08,2.853
2003-01-09,2.834
2003-01-10,2.836
2003-01-13,2.829
2003-01-14,2.829
2003-01-15,2.829
2003-01-16,2.828
2003-01-17,2.830
2003-01-20,2.828
2003-01-21,2.831
2003-01-22,2.825
2003-01-23,2.823
2003-01-24,2.819
2003-01-27,2.814
2003-01-28,2.818
2003-01-29,2.813
2003-01-30,2.811
2003-01-31,2.807
2003-02-03,2.807
2003-02-04,2.805
2003-02-05,2.795
2003-02-06,2.790
2003-02-07,2.763
2003-02-10,2.740
2003-02-11,2.741
2003-02-12,2.728
2003-02-13,2.707
2003-02-14,2.687
2003-02-17,2.693
2003-02-18,2.689
2003-02-19,2.687
2003-02-20,2.679
2003-02-21,2.679
2003-02-24,2.592
2003-02-25,2.571
2003-02-26,2.545
2003-02-27,2.518
2003-02-28,2.533
2003-03-03,2.503
2003-03-04,2.492
2003-03-05,2.477
2003-03-06,2.461
2003-03-07,2.528
2003-03-10,2.537
2003-03-11,2.540
2003-03-12,2.538
2003-03-13,2.545
2003-03-14,2.567
2003-03-17,2.561
2003-03-18,2.576
2003-03-19,2.562
2003-03-20,2.544
2003-03-21,2.537
2003-03-24,2.529
2003-03-25,2.528
2003-03-26,2.527
2003-03-27,2.526
2003-03-28,2.529
2003-03-31,2.522
2003-04-01,2.514
2003-04-02,2.505
2003-04-03,2.502
2003-04-04,2.517
2003-04-07,2.528
2003-04-08,2.527
2003-04-09,2.523
2003-04-10,2.519
2003-04-11,2.522
2003-04-14,2.545
2003-04-15,2.555
2003-04-16,2.561
2003-04-17,2.556
2003-04-22,2.552
2003-04-23,2.552
2003-04-24,2.552
2003-04-25,2.543
2003-04-28,2.533
2003-04-29,2.531
2003-04-30,2.530
2003-05-02,2.504
2003-05-05,2.503
2003-05-06,2.502
2003-05-07,2.476
2003-05-08,2.455
2003-05-09,2.473
2003-05-12,2.467
2003-05-13,2.464
2003-05-14,2.430
2003-05-15,2.422
2003-05-16,2.408
2003-05-19,2.381
2003-05-20,2.374
2003-05-21,2.365
2003-05-22,2.358
2003-05-23,2.345
2003-05-26,2.321
2003-05-27,2.305
2003-05-28,2.294
2003-05-29,2.292
2003-05-30,2.272
2003-06-02,2.258
2003-06-03,2.235
2003-06-04,2.185
2003-06-05,2.171
2003-06-06,2.147
2003-06-09,2.134
2003-06-10,2.133
2003-06-11,2.123
2003-06-12,2.124
2003-06-13,2.125
2003-06-16,2.129
2003-06-17,2.137
2003-06-18,2.141
2003-06-19,2.142
2003-06-20,2.142
2003-06-23,2.143
2003-06-24,2.146
2003-06-25,2.139
2003-06-26,2.140
2003-06-27,2.148
