date,France_CAC40,Germany_DAX,UK_FTSE
2008-05-23,-0.0189,-0.0179,-0.0181
2008-05-27,-0.0055,0.0021,-0.0054
2008-05-28,0.0132,0.0108,0.0107
2008-05-29,0.0010,0.0030,0.0036
2008-05-30,0.0077,0.0059,-0.0032
2008-06-02,-0.0158,-0.0124,-0.0134
2008-06-03,0.0098,0.0015,0.0140
2008-06-04,-0.0138,-0.0077,-0.0198
2008-06-05,-0.0016,-0.0034,-0.0009
2008-06-06,-0.0228,-0.0199,-0.0201
2008-06-09,0.0008,0.0017,-0.0015
2008-06-10,-0.0080,-0.0065,-0.0052
2008-06-11,-0.0210,-0.0178,-0.0164
2008-06-12,0.0024,0.0097,0.0104
2008-06-13,0.0021,0.0076,0.0073
2008-06-16,-0.0052,-0.0052,0.0003
2008-06-17,0.0061,0.0098,0.0027
2008-06-18,-0.0144,-0.0099,-0.0159
2008-06-19,-0.0059,-0.0012,-0.0008
2008-06-20,-0.0179,-0.0212,-0.0222
2008-06-23,0.0005,0.0017,0.0091
2008-06-24,-0.0083,-0.0081,-0.0067
2008-06-25,0.0140,0.0125,0.0062
2008-06-26,-0.0243,-0.0239,-0.0272
2008-06-27,-0.0065,-0.0058,0.0028
2008-06-30,0.0085,-0.0006,0.0160
2008-07-01,-0.0211,-0.0160,-0.0250
2008-07-02,-0.0103,-0.0017,-0.0168
2008-07-03,0.0111,0.0077,0.0140
2008-07-07,-0.0003,0.0066,0.0023
2008-07-08,-0.0154,-0.0143,-0.0129
2008-07-09,0.0150,0.0130,0.0171
2008-07-10,-0.0249,-0.0128,-0.0264
2008-07-11,-0.0309,-0.0241,-0.0293
2008-07-14,0.0102,0.0076,0.0102
2008-07-15,-0.0196,-0.0191,-0.0227
2008-07-16,0.0126,0.0121,0.0020
2008-07-17,0.0276,0.0188,0.0291
2008-07-18,0.0174,0.0178,0.0149
2008-07-21,0.0065,0.0066,0.0046
2008-07-22,0.0000,0.0028,-0.0062
2008-07-23,0.0188,0.0145,0.0258
2008-07-24,-0.0138,-0.0146,-0.0209
2008-07-25,0.0067,-0.0006,0.0001
2008-07-28,-0.0120,-0.0133,-0.0105
2008-07-29,-0.0009,0.0075,0.0049
2008-07-30,0.0185,0.0096,0.0204
2008-07-31,-0.0019,0.0030,-0.0042
2008-08-01,-0.0178,-0.0128,-0.0112
2008-08-04,-0.0078,-0.0073,-0.0129
2008-08-05,0.0247,0.0266,0.0291
2008-08-06,0.0141,0.0065,0.0076
2008-08-07,0.0020,-0.0027,-0.0024
2008-08-08,0.0077,0.0028,0.0108
2008-08-11,0.0104,0.0073,0.0140
2008-08-12,-0.0044,-0.0036,-0.0036
2008-08-13,-0.0256,-0.0249,-0.0325
2008-08-14,0.0041,0.0031,0.0122
2008-08-15,0.0074,0.0006,0.0005
2008-08-18,-0.0011,-0.0020,-0.0008
2008-08-19,-0.0261,-0.0234,-0.0263
2008-08-20,0.0076,0.0056,0.0055
2008-08-21,-0.0140,-0.0128,-0.0016
2008-08-22,0.0223,0.0169,0.0206
2008-08-25,-0.0101,-0.0072,-0.0004
2008-08-26,0.0029,0.0069,-0.0053
2008-08-27,0.0010,-0.0031,0.0057
2008-08-28,0.0202,0.0157,0.0077
2008-08-29,0.0047,0.0003,0.0033
2008-09-02,0.0126,0.0150,-0.0085
2008-09-03,-0.0203,-0.0078,-0.0225
2008-09-04,-0.0322,-0.0291,-0.0223
2008-09-05,-0.0249,-0.0242,-0.0175
2008-09-08,0.0342,0.0222,0.0423
2008-09-09,-0.0108,-0.0048,-0.0001
2008-09-10,-0.0023,-0.0037,-0.0092
2008-09-11,-0.0081,-0.0051,-0.0026
2008-09-12,0.0197,0.0091,0.0200
2008-09-15,-0.0378,-0.0274,-0.0361
2008-09-16,-0.0196,-0.0163,-0.0395
2008-09-17,-0.0214,-0.0175,-0.0158
2008-09-18,-0.0106,0.0004,-0.0059
2008-09-19,0.0927,0.0556,0.0941
2008-09-22,-0.0234,-0.0132,-0.0240
2008-09-23,-0.0198,-0.0064,-0.0198
2008-09-24,-0.0061,-0.0026,-0.0052
2008-09-25,0.0273,0.0199,0.0171
2008-09-26,-0.0150,-0.0177,-0.0187
2008-09-29,-0.0504,-0.0423,-0.0594
2008-09-30,0.0199,0.0041,0.0297
2008-10-01,0.0056,-0.0042,0.0080
2008-10-02,-0.0225,-0.0251,-0.0101
2008-10-03,0.0296,0.0241,0.0325
2008-10-06,-0.0904,-0.0707,-0.0787
2008-10-07,0.0055,-0.0112,0.0075
2008-10-08,-0.0631,-0.0588,-0.0660
2008-10-09,-0.0155,-0.0253,-0.0180
2008-10-10,-0.0773,-0.0701,-0.0900
2008-10-13,0.1118,0.1140,0.1005
2008-10-14,0.0275,0.0270,0.0355
2008-10-15,-0.0682,-0.0649,-0.0724
2008-10-16,-0.0592,-0.0491,-0.0536
2008-10-17,0.0468,0.0343,0.0488
2008-10-20,0.0356,0.0112,0.0577
2008-10-21,0.0078,-0.0105,-0.0135
2008-10-22,-0.0510,-0.0446,-0.0594
2008-10-23,0.0038,-0.0112,0.0044
2008-10-24,-0.0354,-0.0496,-0.0613
2008-10-27,-0.0396,0.0091,-0.0075
