"Index","EWQ.Open","EWQ.High","EWQ.Low","EWQ.Close","EWQ.Volume","EWQ.Adjusted"
"2000-01-03",28,28,27.4375,27.875,74800,15.674068
"2000-01-04",26.75,26.8125,26.1875,26.1875,52200,14.725186
"2000-01-05",25.9375,26.125,25.625,26,156000,14.619754
"2000-01-06",25.625,26,25.625,25.875,73400,14.549474
"2000-01-07",26,26.5,26,26.375,106100,14.830617
"2000-01-10",26.875,26.9375,26.5625,26.75,22900,15.041483
"2000-01-11",26.4375,26.6875,26.3125,26.625,56300,14.971194
"2000-01-12",26.625,26.625,26.0625,26.375,15400,14.830617
"2000-01-13",26.4375,26.6875,26.3125,26.5625,10200,14.936051
"2000-01-14",27,27.125,26.875,27.125,96800,15.252341
"2000-01-18",26.5,26.5625,26.1875,26.46875,30600,14.883331
"2000-01-19",26,26.375,25.9375,26.375,22100,14.830617
"2000-01-20",26.625,26.625,26.1875,26.625,18100,14.971194
"2000-01-21",26.5,26.5,26,26.125,16000,14.690043
"2000-01-24",26.375,26.5,25.8125,25.8125,29300,14.514331
"2000-01-25",25.875,26,25.625,25.9375,28800,14.58461
"2000-01-26",26.1875,26.4375,26.125,26.25,12800,14.760333
"2000-01-27",26.25,26.5625,26.25,26.375,32800,14.830617
"2000-01-28",25.8125,25.875,25,25,56300,14.057457
"2000-01-31",25.375,25.6875,24.9375,25.3125,37400,14.233175
"2000-02-01",25.875,26,25.625,25.875,113000,14.549474
"2000-02-02",26.375,26.75,26.3125,26.75,45400,15.041483
"2000-02-03",27.375,28.1875,27,28.1875,32400,15.849781
"2000-02-04",28.4375,28.5,28.1875,28.5,20500,16.025509
"2000-02-07",28.5,28.5625,27.75,28,79100,15.74435
"2000-02-08",29.125,29.125,28.8125,28.875,18000,16.236368
"2000-02-09",28.8125,29.0625,28.5625,28.8125,95200,16.201221
"2000-02-10",28.4375,28.4375,28.0625,28.3125,29400,15.920075
"2000-02-11",28.25,28.625,27.875,28.4375,210800,15.990358
"2000-02-14",28.5625,28.5625,28.125,28.5,32700,16.025509
"2000-02-15",28,28,27.75,27.8125,33400,15.638923
"2000-02-16",27.4375,27.5625,27.3125,27.5,77300,15.463205
"2000-02-17",28.3125,28.4375,27.9375,28.125,20100,15.81464
"2000-02-18",27.625,27.875,27.125,27.375,22700,15.39292
"2000-02-22",27.5625,27.75,27.4375,27.75,122000,15.603778
"2000-02-23",28.125,28.125,27.8125,27.875,91700,15.674068
"2000-02-24",28.25,28.25,27.6875,27.9375,42300,15.70921
"2000-02-25",28.125,28.125,27.8125,28.125,13200,15.81464
"2000-02-28",27.375,27.5625,27.0625,27.375,16000,15.39292
"2000-02-29",27.9375,28.3125,27.9375,28.25,77700,15.884927
"2000-03-01",28,28.4375,27.8125,28.4375,14800,15.990358
"2000-03-02",28.625,29.1875,28.5625,29.1875,54400,16.412081
"2000-03-03",29.5,29.5,29.25,29.375,37200,16.517517
"2000-03-06",29.1875,29.4375,29.0625,29.0625,22700,16.341797
"2000-03-07",29.25,29.25,28.5,28.5,71100,16.025509
"2000-03-08",28.5,28.625,28.1875,28.625,60100,16.095789
"2000-03-09",28.75,29.0625,28.5625,29.0625,94900,16.341797
"2000-03-10",28.875,29.25,28.875,29.25,20100,16.447226
"2000-03-13",28.3125,28.375,28.125,28.3125,210300,15.920075
"2000-03-14",28.375,28.5625,28.25,28.25,19400,15.884927
"2000-03-15",27.6875,27.9375,27.5625,27.9375,7900,15.70921
"2000-03-16",28.4375,28.5625,28.1875,28.5625,28000,16.06064
"2000-03-17",28.5,28.625,28.3125,28.625,32600,16.095789
"2000-03-20",28.9375,28.9375,28.5625,28.8125,29100,16.201221
"2000-03-21",28.25,28.5,28.25,28.40625,23600,15.972787
"2000-03-22",28.25,28.25,27.9375,28.1875,295600,15.849781
"2000-03-23",28,28.625,27.875,28.625,66300,16.095789
"2000-03-24",28.5,28.875,28.5,28.875,24100,16.236368
"2000-03-27",29.125,29.1875,28.75,29,29500,16.306652
"2000-03-28",29.5,29.5,28.9375,28.9375,48300,16.271507
"2000-03-29",28.9375,29,28.5,28.75,46500,16.166073
"2000-03-30",28,28.25,27.9375,28.1875,35000,15.849781
"2000-03-31",28.125,28.125,27.75,27.75,16500,15.603778
"2000-04-03",27.4375,27.4375,26.9375,27.1875,53500,15.287486
"2000-04-04",27.375,27.5,26.5,27.25,80000,15.322626
"2000-04-05",26.625,27.125,26.625,27.0625,41300,15.217201
"2000-04-06",27.4375,27.6875,27.4375,27.6875,23600,15.568635
"2000-04-07",27.9375,27.9375,27.5625,27.75,55800,15.603778
"2000-04-10",28.4375,28.5,28,28,34400,15.74435
"2000-04-11",27.8125,27.875,27.5625,27.625,21300,15.533491
"2000-04-12",27.875,27.875,27.375,27.375,50700,15.39292
"2000-04-13",27.5625,27.625,27.5,27.5,15500,15.463205
"2000-04-14",26.75,27,26.5,26.75,39900,15.041483
"2000-04-17",25.9375,26.875,25.9375,26.875,21200,15.11177
"2000-04-18",27,27,26.5625,27,34700,15.182056
"2000-04-19",26.875,27.0625,26.6875,26.6875,9000,15.006337
"2000-04-20",26.9375,27.125,26.8125,26.9375,5600,15.146909
"2000-04-24",26.9375,26.9375,26.6875,26.6875,2100,15.006337
"2000-04-25",26.8125,27,26.8125,26.9375,7000,15.146909
