date,TRY_EUR,TRY_USD
2005-01-03,1.8090,1.3440
2005-01-04,1.8005,1.3510
2005-01-05,1.8210,1.3740
2005-01-06,1.8335,1.3925
2005-01-07,1.8190,1.3940
2005-01-10,1.8205,1.3920
2005-01-11,1.8025,1.3750
2005-01-12,1.8000,1.3575
2005-01-13,1.7860,1.3510
2005-01-14,1.7660,1.3475
2005-01-17,1.7450,1.3350
2005-01-18,1.7467,1.3400
2005-01-19,1.7455,1.3425
2005-01-20,1.7500,1.3500
2005-01-21,1.7550,1.3450
2005-01-24,1.7445,1.3350
2005-01-25,1.7280,1.3325
2005-01-26,1.7265,1.3200
2005-01-27,1.7405,1.3350
2005-01-28,1.7420,1.3360
2005-01-31,1.7364,1.3320
2005-02-01,1.7055,1.3080
2005-02-02,1.7275,1.3250
2005-02-03,1.7160,1.3240
2005-02-04,1.6865,1.3100
2005-02-07,1.6825,1.3190
2005-02-08,1.6975,1.3290
2005-02-09,1.7075,1.3310
2005-02-10,1.7138,1.3300
2005-02-11,1.6955,1.3175
2005-02-14,1.6929,1.3095
2005-02-15,1.7065,1.3110
2005-02-16,1.7135,1.3150
2005-02-17,1.7045,1.3035
2005-02-18,1.7075,1.3070
2005-02-21,1.6970,1.2990
2005-02-22,1.7160,1.2940
2005-02-23,1.7210,1.3010
2005-02-24,1.7140,1.2990
2005-02-25,1.6976,1.2915
2005-02-28,1.6910,1.2780
2005-03-01,1.6850,1.2790
2005-03-02,1.6810,1.2800
2005-03-03,1.6775,1.2800
2005-03-04,1.6540,1.2530
2005-03-07,1.6569,1.2565
2005-03-08,1.6699,1.2520
2005-03-09,1.6844,1.2565
2005-03-10,1.7100,1.2745
2005-03-11,1.6933,1.2615
2005-03-14,1.7214,1.2880
2005-03-15,1.7349,1.3020
2005-03-16,1.7666,1.3145
2005-03-17,1.7533,1.3160
2005-03-18,1.7427,1.3150
2005-03-21,1.7580,1.3350
2005-03-22,1.7624,1.3475
2005-03-23,1.7640,1.3580
2005-03-24,1.7645,1.3635
2005-03-25,1.7505,1.3510
2005-03-28,1.7770,1.3780
2005-03-29,1.7940,1.3880
2005-03-30,1.7590,1.3610
2005-03-31,1.7475,1.3485
2005-04-01,1.7415,1.3500
2005-04-04,1.7520,1.3640
2005-04-05,1.7480,1.3550
2005-04-06,1.7375,1.3510
2005-04-07,1.7220,1.3445
2005-04-08,1.7400,1.3470
2005-04-11,1.7435,1.3440
2005-04-12,1.7400,1.3470
2005-04-13,1.7290,1.3390
2005-04-14,1.7490,1.3640
2005-04-15,1.7625,1.3640
2005-04-18,1.7815,1.3690
2005-04-19,1.7780,1.3610
2005-04-20,1.7740,1.3505
2005-04-21,1.7780,1.3625
2005-04-22,1.7665,1.3535
2005-04-25,1.7710,1.3630
2005-04-26,1.7677,1.3600
2005-04-27,1.7770,1.3740
2005-04-28,1.7999,1.3925
2005-04-29,1.7875,1.3815
2005-05-02,1.7755,1.3750
2005-05-03,1.7590,1.3610
2005-05-04,1.7346,1.3390
2005-05-05,1.7315,1.3400
2005-05-06,1.7375,1.3445
2005-05-09,1.7420,1.3500
2005-05-10,1.7600,1.3640
2005-05-11,1.7490,1.3670
2005-05-12,1.7278,1.3570
2005-05-13,1.7305,1.3665
2005-05-16,1.7420,
