"Index","VBMFX.Open","VBMFX.High","VBMFX.Low","VBMFX.Close","VBMFX.Volume","VBMFX.Adjusted"
"2000-01-03",9.52,9.52,9.52,9.52,0,4.21916
"2000-01-04",9.54,9.54,9.54,9.54,0,4.228021
"2000-01-05",9.5,9.5,9.5,9.5,0,4.210296
"2000-01-06",9.53,9.53,9.53,9.53,0,4.223589
"2000-01-07",9.55,9.55,9.55,9.55,0,4.23245
"2000-01-10",9.53,9.53,9.53,9.53,0,4.223589
"2000-01-11",9.48,9.48,9.48,9.48,0,4.201431
"2000-01-12",9.47,9.47,9.47,9.47,0,4.196999
"2000-01-13",9.51,9.51,9.51,9.51,0,4.214725
"2000-01-14",9.49,9.49,9.49,9.49,0,4.205863
"2000-01-18",9.46,9.46,9.46,9.46,0,4.192567
"2000-01-19",9.48,9.48,9.48,9.48,0,4.201431
"2000-01-20",9.46,9.46,9.46,9.46,0,4.192567
"2000-01-21",9.47,9.47,9.47,9.47,0,4.196999
"2000-01-24",9.5,9.5,9.5,9.5,0,4.210296
"2000-01-25",9.5,9.5,9.5,9.5,0,4.210296
"2000-01-26",9.51,9.51,9.51,9.51,0,4.214725
"2000-01-27",9.52,9.52,9.52,9.52,0,4.21916
"2000-01-28",9.52,9.52,9.52,9.52,0,4.21916
"2000-01-31",9.49,9.49,9.49,9.49,0,4.229406
"2000-02-01",9.51,9.51,9.51,9.51,0,4.238319
"2000-02-02",9.51,9.51,9.51,9.51,0,4.238319
"2000-02-03",9.55,9.55,9.55,9.55,0,4.256147
"2000-02-04",9.53,9.53,9.53,9.53,0,4.247235
"2000-02-07",9.49,9.49,9.49,9.49,0,4.229406
"2000-02-08",9.52,9.52,9.52,9.52,0,4.242779
"2000-02-09",9.5,9.5,9.5,9.5,0,4.233864
"2000-02-10",9.48,9.48,9.48,9.48,0,4.224954
"2000-02-11",9.49,9.49,9.49,9.49,0,4.229406
"2000-02-14",9.52,9.52,9.52,9.52,0,4.242779
"2000-02-15",9.51,9.51,9.51,9.51,0,4.238319
"2000-02-16",9.5,9.5,9.5,9.5,0,4.233864
"2000-02-17",9.49,9.49,9.49,9.49,0,4.229406
"2000-02-18",9.52,9.52,9.52,9.52,0,4.242779
"2000-02-22",9.58,9.58,9.58,9.58,0,4.26952
"2000-02-23",9.54,9.54,9.54,9.54,0,4.251695
"2000-02-24",9.57,9.57,9.57,9.57,0,4.265063
"2000-02-25",9.57,9.57,9.57,9.57,0,4.265063
"2000-02-28",9.54,9.54,9.54,9.54,0,4.251695
"2000-02-29",9.55,9.55,9.55,9.55,0,4.279475
"2000-03-01",9.56,9.56,9.56,9.56,0,4.283958
"2000-03-02",9.56,9.56,9.56,9.56,0,4.283958
"2000-03-03",9.58,9.58,9.58,9.58,0,4.29292
"2000-03-06",9.56,9.56,9.56,9.56,0,4.283958
"2000-03-07",9.57,9.57,9.57,9.57,0,4.288438
"2000-03-08",9.56,9.56,9.56,9.56,0,4.283958
"2000-03-09",9.57,9.57,9.57,9.57,0,4.288438
"2000-03-10",9.54,9.54,9.54,9.54,0,4.274995
"2000-03-13",9.54,9.54,9.54,9.54,0,4.274995
"2000-03-14",9.56,9.56,9.56,9.56,0,4.283958
"2000-03-15",9.57,9.57,9.57,9.57,0,4.288438
"2000-03-16",9.59,9.59,9.59,9.59,0,4.2974
"2000-03-17",9.61,9.61,9.61,9.61,0,4.306367
"2000-03-20",9.61,9.61,9.61,9.61,0,4.306367
"2000-03-21",9.61,9.61,9.61,9.61,0,4.306367
"2000-03-22",9.61,9.61,9.61,9.61,0,4.306367
"2000-03-23",9.62,9.62,9.62,9.62,0,4.310844
"2000-03-24",9.58,9.58,9.58,9.58,0,4.29292
"2000-03-27",9.57,9.57,9.57,9.57,0,4.288438
"2000-03-28",9.57,9.57,9.57,9.57,0,4.288438
"2000-03-29",9.57,9.57,9.57,9.57,0,4.288438
"2000-03-30",9.61,9.61,9.61,9.61,0,4.306367
"2000-03-31",9.63,9.63,9.63,9.63,0,4.339708
"2000-04-03",9.64,9.64,9.64,9.64,0,4.344215
"2000-04-04",9.69,9.69,9.69,9.69,0,4.366749
"2000-04-05",9.67,9.67,9.67,9.67,0,4.357734
"2000-04-06",9.66,9.66,9.66,9.66,0,4.353229
"2000-04-07",9.68,9.68,9.68,9.68,0,4.362244
"2000-04-10",9.69,9.69,9.69,9.69,0,4.366749
"2000-04-11",9.66,9.66,9.66,9.66,0,4.353229
"2000-04-12",9.63,9.63,9.63,9.63,0,4.339708
"2000-04-13",9.65,9.65,9.65,9.65,0,4.348718
"2000-04-14",9.66,9.66,9.66,9.66,0,4.353229
"2000-04-17",9.62,9.62,9.62,9.62,0,4.335205
"2000-04-18",9.61,9.61,9.61,9.61,0,4.330698
"2000-04-19",9.64,9.64,9.64,9.64,0,4.344215
"2000-04-20",9.64,9.64,9.64,9.64,0,4.344215
"2000-04-24",9.63,9.63,9.63,9.63,0,4.339708
"2000-04-25",9.59,9.59,9.59,9.59,0,4.321684
"2000-04-26",9.58,9.58,9.58,9.58,0,4.317175
"2000-04-27",9.53,9.53,9.53,9.53,0,4.294646
"2000-04-28",9.53,9.53,9.53,9.53,0,4.318661
