date,3M,1Y,2Y,5Y,10Y
2004-09-06,2.0342,2.2988,2.6413,3.4572,5.2179
2004-09-07,2.0409,2.3289,2.6798,3.4795,5.1940
2004-09-08,2.0444,2.3467,2.7065,3.5079,5.1959
2004-09-09,2.0371,2.3090,2.6462,3.4306,5.1582
2004-09-10,2.0346,2.2716,2.5897,3.3747,5.1365
2004-09-13,2.0414,2.3072,2.6374,3.4103,5.1374
2004-09-14,2.0379,2.2959,2.6217,3.3959,5.1380
2004-09-15,2.0409,2.2977,2.6227,3.3959,5.1322
2004-09-16,2.0478,2.3084,2.6348,3.4043,5.1226
2004-09-17,2.0503,2.2818,2.5916,3.3605,5.1081
2004-09-20,2.0463,2.2812,2.5902,3.3497,5.0850
2004-09-21,2.0502,2.2918,2.6037,3.3608,5.0883
2004-09-22,2.0527,2.2912,2.5990,3.3466,5.0594
2004-09-23,2.0433,2.2438,2.5268,3.2629,5.0093
2004-09-24,2.0585,2.2811,2.5782,3.3190,5.0341
2004-09-27,2.0557,2.2684,2.5572,3.2899,5.0148
2004-09-28,2.0531,2.2656,2.5512,3.2855,5.0350
2004-09-29,2.0618,2.2911,2.5874,3.3250,5.0682
2004-09-30,2.0313,2.2817,2.5902,3.3296,5.0984
2004-10-01,2.0609,2.2765,2.5683,3.3246,5.1419
2004-10-04,2.0595,2.2935,2.5997,3.3648,5.1398
2004-10-05,2.0589,2.2802,2.5751,3.3268,5.1060
2004-10-06,2.0618,2.2795,2.5718,3.3216,5.0921
2004-10-07,2.0621,2.2776,2.5704,3.3269,5.1105
2004-10-08,2.0448,2.2273,2.5005,3.2560,5.0792
2004-10-11,2.0550,2.2316,2.5014,3.2587,5.1031
2004-10-12,2.0487,2.2079,2.4649,3.2123,5.0658
2004-10-13,2.0580,2.2230,2.4839,3.2318,5.0650
2004-10-14,2.0539,2.2067,2.4605,3.2074,5.0525
2004-10-15,2.0584,2.1828,2.4257,3.1856,5.0480
2004-10-18,2.0543,2.1844,2.4284,3.1860,5.0727
2004-10-19,2.0594,2.1940,2.4426,3.2068,5.0917
2004-10-20,2.0625,2.1725,2.4048,3.1593,5.0610
2004-10-21,2.0651,2.1805,2.4143,3.1633,5.0491
2004-10-22,2.0697,2.1911,2.4262,3.1695,5.0465
2004-10-25,2.0660,2.1672,2.3876,3.1209,5.0255
2004-10-26,2.0717,2.1678,2.3845,3.1147,5.0232
2004-10-27,2.0788,2.1761,2.3940,3.1238,5.0160
2004-10-28,2.0807,2.2196,2.4674,3.2158,5.0601
2004-10-29,2.0729,2.2179,2.4510,3.1483,5.0429
2004-11-01,2.0782,2.1983,2.4303,3.1660,5.0734
2004-11-02,2.0832,2.2181,2.4597,3.1983,5.0779
2004-11-03,2.0410,2.1988,2.4540,3.1986,5.0798
2004-11-04,2.0283,2.1920,2.4512,3.1986,5.0798
2004-11-05,2.0118,2.1837,2.4482,3.1990,5.0796
2004-11-08,1.9908,2.1758,2.4475,3.1989,5.0812
2004-11-09,2.1200,2.2464,2.4743,3.1812,5.0034
2004-11-10,2.1187,2.2356,2.4549,3.1593,4.9945
2004-11-11,2.1283,2.2118,2.4145,3.1261,4.9867
2004-11-12,2.1181,2.2047,2.4065,3.1086,4.9572
2004-11-15,2.1252,2.2033,2.3953,3.0806,4.9220
2004-11-16,2.1202,2.2239,2.4233,3.0828,4.8812
2004-11-17,2.1208,2.2255,2.4277,3.0961,4.9055
2004-11-18,2.1231,2.2465,2.4604,3.1310,4.9264
2004-11-19,2.1243,2.2366,2.4434,3.1114,4.9122
2004-11-22,2.1229,2.2229,2.4205,3.0819,4.8899
2004-11-23,2.1285,2.2217,2.4150,3.0746,4.8796
2004-11-24,2.1254,2.2013,2.3870,3.0552,4.8855
2004-11-25,2.1105,2.1792,2.3626,3.0370,4.8753
2004-11-26,2.1066,2.1735,2.3589,3.0396,4.8555
2004-11-29,2.1149,2.1984,2.3953,3.0831,4.8893
2004-11-30,2.1054,2.1798,2.3707,3.0560,4.8755
2004-12-01,2.0968,2.1603,2.3452,3.0302,4.8518
2004-12-02,2.1117,2.1966,2.3935,3.0758,4.8585
2004-12-03,2.1097,2.1811,2.3662,3.0381,4.8523
2004-12-06,2.0934,2.1420,2.3135,2.9823,4.8127
2004-12-07,2.0941,2.1384,2.3022,2.9558,4.7930
2004-12-08,2.0963,2.1575,2.3292,2.9747,4.7731
2004-12-09,2.0903,2.1409,2.2985,2.9144,4.6896
2004-12-10,2.1024,2.1566,2.3109,2.9068,4.6535
2004-12-13,2.0919,2.1525,2.3132,2.9171,4.6529
2004-12-14,2.0986,2.1585,2.3170,2.9127,4.6254
2004-12-15,2.0972,2.1528,2.3043,2.8817,4.5626
2004-12-16,2.0926,2.1843,2.3570,2.9309,4.5560
2004-12-17,2.0943,2.2099,2.4012,2.9892,4.5803
2004-12-20,2.1000,2.1918,2.3657,2.9442,4.5740
2004-12-21,2.1457,2.2416,2.4163,2.9868,4.5885
2004-12-22,2.0955,2.2376,2.4380,3.0011,4.5787
2004-12-23,2.0838,2.2147,2.4059,2.9626,4.5762
2004-12-24,2.0754,2.2055,2.3894,2.9225,4.5753
2004-12-27,2.0853,2.2244,2.4222,2.9848,4.5951
2004-12-28,2.1390,2.2283,2.3983,2.9712,4.6304
2004-12-29,2.0905,2.2603,2.4827,3.0656,4.6546
2004-12-30,2.0814,2.2526,2.4762,3.0613,4.6583
2004-12-31,2.0626,2.2434,2.4738,3.0618,4.6558
2005-01-03,2.1096,2.2398,2.4310,2.9934,4.6601
2005-01-04,2.0559,2.2320,2.4571,3.0342,4.6059
2005-01-05,2.0649,2.2482,2.4800,3.0645,4.6231
2005-01-06,2.0605,2.2075,2.4156,2.9984,4.6026
2005-01-07,2.0480,2.1879,2.3902,2.9673,4.5719
2005-01-10,2.0349,2.1798,2.3866,2.9684,4.5669
2005-01-11,2.0620,2.2045,2.4071,2.9764,4.5424
2005-01-12,2.0621,2.2070,2.4118,2.9841,4.5523
2005-01-13,2.0527,2.1747,2.3651,2.9364,4.5299
2005-01-14,2.0569,2.1858,2.3800,2.9459,4.4906
2005-01-17,2.0520,2.1767,2.3666,2.9253,4.4607
2005-01-18,2.0559,2.1897,2.3869,2.9501,4.4560
2005-01-19,2.0579,2.1825,2.3730,2.9270,4.3847
2005-01-20,2.0586,2.2000,2.4030,2.9685,4.4477
2005-01-21,2.0602,2.1934,2.3929,2.9653,4.4711
2005-01-24,2.0524,2.1763,2.3681,2.9334,4.4467
2005-01-25,2.0506,2.1689,2.3580,2.9206,4.3855
2005-01-26,2.0488,2.1833,2.3865,2.9640,4.4135
2005-01-27,2.0486,2.2042,2.4211,3.0018,4.4242
2005-01-28,2.0504,2.1828,2.3811,2.9474,4.4094
2005-01-31,2.0530,2.1886,2.3886,2.9526,4.3988
2005-02-01,2.0377,2.1803,2.3855,2.9533,4.3975
2005-02-02,2.0512,2.1928,2.3954,2.9519,4.3516
2005-02-03,2.0645,2.2107,2.4204,2.9863,4.3218
2005-02-04,2.0551,2.1940,2.3956,2.9465,4.2665
2005-02-07,2.0525,2.2005,2.4060,2.9454,4.1981
2005-02-08,2.0559,2.2184,2.4289,2.9560,4.2055
2005-02-09,2.0524,2.1965,2.3953,2.9189,4.1649
2005-02-10,2.0491,2.1813,2.3720,2.8948,4.1770
2005-02-11,2.0518,2.1791,2.3689,2.9045,4.2460
2005-02-14,2.0547,2.1931,2.3916,2.9348,4.2721
2005-02-15,2.0483,2.2043,2.4130,2.9537,4.2678
2005-02-16,2.0429,2.2011,2.4061,2.9302,4.2726
2005-02-17,2.0427,2.2194,2.4478,3.0185,4.3685
2005-02-18,2.0336,2.2268,2.4734,3.0772,4.4550
2005-02-21,2.0389,2.2373,2.4881,3.0961,4.4726
2005-02-22,2.0451,2.2315,2.4772,3.0955,4.5054
2005-02-23,2.0486,2.2236,2.4604,3.0725,4.5044
2005-02-24,2.0530,2.2324,2.4731,3.0912,4.5371
2005-02-25,2.0550,2.2489,2.5018,3.1306,4.5489
2005-02-28,2.0513,2.2408,2.4888,3.1090,4.5203
2005-03-01,2.0504,2.2391,2.4884,3.1178,4.5652
2005-03-02,2.0515,2.2443,2.5009,3.1523,4.6462
2005-03-03,2.0459,2.2255,2.4725,3.1204,4.6536
2005-03-04,2.0463,2.2024,2.4331,3.0713,4.6022
2005-03-07,2.0425,2.1874,2.4088,3.0357,4.5563
2005-03-08,2.0439,2.1895,2.4148,3.0558,4.6009
2005-03-09,2.0492,2.2081,2.4472,3.1111,4.6731
2005-03-10,2.0496,2.2047,2.4412,3.1040,4.6723
2005-03-11,2.0491,2.2001,2.4350,3.1036,4.7069
2005-03-14,2.0465,2.2105,2.4535,3.1222,4.6945
2005-03-15,2.0494,2.2030,2.4340,3.0798,4.6302
2005-03-16,2.0493,2.2363,2.4818,3.1039,4.5745
2005-03-17,2.0580,2.2363,2.4730,3.0813,4.5431
2005-03-18,2.0548,2.2462,2.4941,3.1153,4.5819
2005-03-21,2.0583,2.2600,2.5152,3.1371,4.5672
2005-03-22,2.0621,2.2620,2.5106,3.1105,4.5145
2005-03-23,2.0692,2.2815,2.5411,3.1527,4.5386
2005-03-24,2.0734,2.2813,2.5342,3.1303,4.5190
2005-03-29,2.0695,2.2816,2.5386,3.1398,4.5254
2005-03-30,2.0715,2.2754,2.5253,3.1205,4.5268
2005-03-31,2.0491,2.2358,2.4716,3.0556,4.5006
2005-04-01,2.0439,2.2052,2.4200,2.9880,4.4988
2005-04-04,2.0629,2.2130,2.4253,3.0070,4.4881
2005-04-05,2.0631,2.2142,2.4262,3.0040,4.4756
2005-04-06,2.0597,2.2071,2.4152,2.9900,4.5018
2005-04-07,2.0474,2.1854,2.3864,2.9593,4.5084
2005-04-08,2.0490,2.1837,2.3832,2.9617,4.5544
2005-04-11,2.0425,2.1757,2.3741,2.9507,4.5328
2005-04-12,2.0417,2.1792,2.3799,2.9530,4.5035
2005-04-13,2.0425,2.1748,2.3692,2.9299,4.4791
2005-04-14,2.0387,2.1738,2.3714,2.9382,4.4941
2005-04-15,2.0261,2.1426,2.3259,2.8845,4.4815
2005-04-18,2.0131,2.1340,2.3212,2.8846,4.4797
2005-04-19,2.0248,2.1216,2.2936,2.8522,4.4430
2005-04-20,2.0298,2.1224,2.2917,2.8497,4.4473
2005-04-21,2.0432,2.1249,2.2973,2.8852,4.4676
2005-04-22,2.0218,2.1160,2.2885,2.8537,4.4401
2005-04-25,2.0260,2.1174,2.2863,2.8439,4.4225
2005-04-26,2.0214,2.1102,2.2762,2.8283,4.4006
2005-04-27,2.0171,2.1001,2.2612,2.8066,4.3652
2005-04-28,2.0137,2.0880,2.2448,2.7945,4.3760
2005-04-29,2.0248,2.0884,2.2455,2.8173,4.4122
2005-05-02,2.0203,2.0828,2.2296,2.7824,4.4151
2005-05-03,2.0137,2.0669,2.2081,2.7626,4.4151
2005-05-04,2.0184,2.0771,2.2247,2.7913,4.4497
2005-05-05,2.0159,2.0719,2.2159,2.7764,4.4511
2005-05-06,2.0144,2.0838,2.2388,2.8089,4.4632
2005-05-09,2.0122,2.0873,2.2464,2.8168,4.4460
2005-05-10,2.0134,2.0663,2.2060,2.7525,4.3714
2005-05-11,2.0176,2.0676,2.2026,2.7362,4.3309
2005-05-12,2.0191,2.0762,2.2150,2.7454,4.3204
2005-05-13,2.0178,2.0774,2.2126,2.7227,4.2797
2005-05-16,2.0231,2.0820,2.2184,2.7334,4.2803
2005-05-17,2.0206,2.0806,2.2183,2.7372,4.2973
2005-05-18,2.0168,2.0756,2.2105,2.7177,4.2348
2005-05-19,2.0186,2.0818,2.2207,2.7322,4.2368
2005-05-20,2.0184,2.1031,2.2580,2.7788,4.2624
2005-05-23,2.0232,2.1016,2.2497,2.7583,4.2312
2005-05-24,2.0208,2.0753,2.2059,2.7060,4.2129
2005-05-25,2.0201,2.0592,2.1803,2.6833,4.2377
2005-05-26,2.0244,2.0679,2.1956,2.7154,4.2915
2005-05-27,2.0269,2.0611,2.1827,2.7054,4.3440
2005-05-30,2.0267,2.0604,2.1814,2.7039,4.3490
2005-05-31,2.0078,2.0466,2.1669,2.6709,4.2606
2005-06-01,1.9922,2.0006,2.1055,2.6244,4.2880
2005-06-02,2.0427,2.0049,2.1032,2.6356,4.1633
2005-06-03,2.0528,1.9961,2.0772,2.5833,4.0759
2005-06-06,2.0527,1.9981,2.0841,2.6136,4.1239
2005-06-07,2.0603,1.9792,2.0497,2.5675,4.0479
2005-06-08,2.0613,1.9572,2.0174,2.5364,4.0106
2005-06-09,2.0515,1.9819,2.0462,2.5551,4.0610
2005-06-10,2.0396,1.9950,2.0711,2.5707,4.0495
2005-06-13,2.0337,1.9866,2.0646,2.5801,4.1117
2005-06-14,2.0282,1.9887,2.0706,2.5866,4.1255
2005-06-15,2.0218,2.0191,2.1264,2.6622,4.2364
2005-06-16,2.0173,2.0336,2.1592,2.7162,4.2576
2005-06-17,2.0206,2.0280,2.1473,2.6972,4.2127
2005-06-20,2.0194,2.0060,2.1188,2.6890,4.2485
2005-06-21,2.0124,1.9557,2.0407,2.5969,4.1589
2005-06-22,2.0152,1.9341,2.0015,2.5380,4.0607
2005-06-23,2.0110,1.9417,2.0131,2.5450,4.0803
2005-06-24,2.0153,1.9456,2.0135,2.5323,4.0457
2005-06-27,2.0196,1.9392,2.0002,2.5152,4.0294
2005-06-28,2.0256,1.9549,2.0223,2.5451,4.0954
2005-06-29,2.0294,1.9448,2.0021,2.5187,4.0854
