date,open,high,low,close
2012-09-24,111.50,111.56,108.78,109.93
2012-09-25,109.93,111.47,109.44,109.96
2012-09-26,109.88,110.23,108.45,110.03
2012-09-27,110.17,112.49,109.68,112.39
2012-09-28,112.53,113.40,111.52,112.12
2012-10-01,112.34,113.27,111.47,112.14
2012-10-02,112.28,112.45,111.27,111.36
2012-10-03,111.36,111.36,107.67,107.94
2012-10-04,108.20,112.69,108.02,112.32
2012-10-05,112.45,113.05,110.54,111.82
2012-10-08,111.99,112.25,110.54,112.25
2012-10-09,112.22,114.72,111.97,114.43
2012-10-10,114.23,115.59,113.77,114.71
2012-10-11,114.56,116.02,114.42,115.72
2012-10-12,115.96,115.96,113.94,114.57
2012-10-15,114.64,115.91,113.58,115.88
2012-10-16,115.72,116.20,114.50,115.04
2012-10-18,112.66,112.82,111.71,111.75
2012-10-19,112.67,112.83,112.67,112.83
2012-10-22,109.66,109.66,109.66,109.66
2012-10-24,107.09,107.09,107.09,107.09
2012-10-25,108.32,108.32,108.32,108.32
2012-10-31,108.85,108.85,108.85,108.85
2012-11-01,108.28,108.28,108.19,108.24
2012-11-02,108.10,108.20,105.65,105.72
2012-11-05,105.35,105.55,105.34,105.55
2012-11-06,107.93,111.31,107.13,111.03
2012-11-07,110.83,111.64,106.53,106.77
2012-11-08,106.92,108.17,106.12,107.00
2012-11-09,107.15,109.78,106.25,109.44
2012-11-12,109.59,110.39,108.56,108.80
2012-11-13,108.70,108.98,107.38,108.09
2012-11-14,108.12,110.35,107.80,109.92
2012-11-15,109.68,111.12,109.66,110.97
2012-11-16,108.95,108.97,108.95,108.96
2012-11-19,111.59,111.80,111.59,111.80
2012-11-20,111.61,111.61,109.82,109.90
2012-11-21,110.80,110.90,110.80,110.85
2012-11-26,110.93,110.97,110.93,110.94
2012-11-27,109.86,109.95,109.86,109.95
2012-11-28,109.52,109.52,109.50,109.50
2012-11-29,110.79,110.79,110.71,110.75
2012-11-30,111.00,111.00,110.83,110.83
2012-12-07,107.05,107.89,106.66,107.16
2012-12-10,107.30,108.54,107.01,107.44
2012-12-11,107.45,108.37,107.09,108.12
2012-12-12,108.14,110.50,108.14,109.59
2012-12-13,109.36,109.52,107.80,108.13
2012-12-14,108.20,109.58,108.20,109.20
2012-12-17,107.71,107.71,107.71,107.71
2012-12-18,108.91,108.91,108.91,108.91
2012-12-19,110.43,110.43,110.43,110.43
2012-12-20,110.27,110.27,110.27,110.27
2012-12-21,109.04,109.04,109.04,109.04
2012-12-24,108.87,108.87,108.87,108.87
2012-12-26,111.14,111.14,111.14,111.14
2012-12-27,110.90,110.90,110.90,110.90
2013-01-02,112.47,112.47,112.47,112.47
2013-01-07,111.42,111.69,110.54,111.59
2013-01-08,111.42,112.47,111.12,112.05
2013-01-09,111.90,112.23,111.11,111.70
2013-01-10,111.68,113.29,111.60,111.88
2013-01-11,111.95,111.95,109.60,110.64
2013-01-13,110.62,110.62,110.62,110.62
2013-01-14,111.88,112.15,110.31,112.11
2013-01-15,111.93,112.46,110.19,110.31
2013-01-16,110.52,110.84,110.24,110.60
2013-01-18,111.89,111.89,111.89,111.89
2013-01-22,111.71,112.65,111.35,112.42
2013-01-23,112.42,113.15,112.06,112.79
2013-01-24,112.76,113.65,112.40,113.36
2013-01-25,113.28,113.84,112.83,113.40
2013-01-28,113.45,113.80,112.60,113.40
2013-01-29,113.48,114.49,113.07,114.20
2013-01-30,114.28,115.24,114.07,114.95
2013-01-31,114.91,115.76,114.28,111.56
2013-02-01,115.77,117.07,115.40,116.65
2013-02-04,116.50,116.67,115.32,115.60
2013-02-05,115.47,117.23,115.01,116.52
2013-02-06,116.45,117.05,115.72,116.92
2013-02-07,116.90,117.83,116.71,117.45
2013-02-08,117.48,119.17,117.31,118.89
2013-02-11,118.90,119.07,117.54,118.27
2013-02-12,118.27,118.90,117.81,118.64
2013-02-13,118.66,119.12,118.39,118.75
2013-02-14,118.05,118.29,117.25,118.00
2013-02-15,117.96,118.11,116.28,117.90
2013-02-18,117.81,118.19,116.92,117.43
2013-02-19,117.48,117.60,116.55,117.32
2013-02-20,117.35,117.66,115.02,115.17
2013-02-21,115.20,115.31,113.32,113.66
2013-02-22,113.60,114.79,113.60,114.23
2013-02-25,114.19,115.87,113.40,113.40
2013-02-26,113.64,114.34,112.41,112.92
2013-02-27,112.80,113.35,111.65,111.90
2013-02-28,111.95,112.57,110.87,110.97
2013-03-01,110.90,111.36,109.82,110.67
2013-03-04,110.58,110.89,109.58,110.19
2013-03-05,110.10,111.82,110.10,111.58
2013-03-06,111.83,112.23,110.46,111.06
2013-03-07,111.08,111.40,110.41,110.93
2013-03-08,110.90,111.33,109.14,110.64
2013-03-11,110.67,110.72,109.53,110.04
2013-03-12,110.13,111.20,109.30,109.54
2013-03-13,109.70,109.89,107.91,108.41
2013-03-14,108.36,109.98,108.18,109.47
2013-03-18,109.83,109.83,107.78,109.53
2013-03-19,109.41,109.54,107.25,107.45
2013-03-20,107.59,108.92,107.55,108.50
2013-03-21,108.65,108.75,107.08,107.20
2013-03-22,107.31,107.96,106.90,107.51
2013-03-25,106.86,109.07,106.80,108.15
2013-03-26,108.11,109.59,107.71,109.39
2013-03-27,109.40,109.98,108.85,109.80
2013-03-28,109.85,110.10,108.98,109.87
2013-04-02,111.07,111.79,110.00,110.38
2013-04-03,110.28,110.43,106.78,107.33
