Date,HedgeIndex Main Index,HedgeIndex Convertible Arbitrage Composite Index,HedgeIndex Convertible Arbitrage Index,HedgeIndex Equity Market Neutral Composite Index,HedgeIndex Equity Market Neutral Index,HedgeIndex Event Driven Composite Index,HedgeIndex Event Driven Index,HedgeIndex Fixed Income Arbitrage Composite Index,HedgeIndex Fixed Income Arbitrage Index,HedgeIndex Global Macro Composite Index,HedgeIndex Global Macro Index,HedgeIndex Long/Short Equity Composite Index,HedgeIndex Long/Short Equity Index,HedgeIndex Managed Futures Composite Index,HedgeIndex Managed Futures Index,HedgeIndex Multi-Strategy Composite Index,HedgeIndex Multi-Strategy Index
2005-10,307.50,98.05,249.26,102.44,283.64,108.00,332.32,100.90,192.78,99.50,422.40,110.49,338.69,108.41,185.67,105.65,252.64
2005-11,311.53,97.39,247.68,102.86,283.60,108.86,335.99,100.19,191.27,99.30,426.22,112.30,345.69,111.82,193.19,105.94,255.49
2005-12,315.94,97.55,249.58,103.40,287.13,109.94,340.22,100.32,191.78,99.76,432.13,114.59,354.60,108.04,187.96,107.68,259.82
2006-01,325.23,99.71,255.77,104.54,290.46,112.47,349.19,101.00,194.04,101.13,445.43,118.85,368.31,107.94,192.54,109.98,266.26
2006-02,325.70,100.75,258.34,104.62,291.36,112.37,349.71,100.75,193.76,101.25,450.12,119.00,368.10,105.99,187.01,110.59,267.61
2006-03,330.87,101.88,261.58,105.66,295.40,113.84,354.15,101.22,194.45,100.67,453.90,121.78,376.22,109.10,194.14,112.46,272.46
2006-04,337.25,102.28,262.94,106.64,300.53,115.40,359.37,102.51,197.89,102.30,465.45,123.11,383.90,112.57,199.19,113.64,276.05
2006-05,332.09,102.41,264.26,106.46,302.22,115.18,358.18,102.58,198.98,101.14,461.55,118.73,372.21,110.81,193.39,113.33,275.07
2006-06,331.00,102.25,264.60,106.30,302.37,115.66,360.06,103.26,199.78,100.38,462.55,117.29,367.61,108.37,189.01,113.44,274.47
2006-07,331.16,102.61,266.06,107.17,305.46,115.89,359.34,102.94,199.79,99.78,467.76,116.71,366.56,105.21,183.97,113.35,274.33
2006-08,333.21,103.54,268.11,106.88,305.69,116.74,362.27,102.09,199.28,98.16,463.07,118.71,371.33,106.74,186.08,113.75,275.29
2006-09,332.95,104.26,270.68,106.68,305.67,117.24,363.69,101.52,198.82,96.79,462.18,118.61,370.87,106.30,183.53,113.91,275.61
2006-10,338.10,104.94,271.94,106.61,306.20,119.32,370.96,102.03,199.86,96.24,466.16,120.55,378.17,107.05,186.28,115.45,279.42
2006-11,344.20,105.61,274.20,106.70,308.49,121.57,377.72,102.10,201.73,97.01,471.73,122.61,386.94,109.38,189.92,117.07,284.97
2006-12,349.94,106.67,277.81,106.81,310.69,122.99,383.06,103.22,202.84,98.36,477.35,124.60,394.35,111.25,197.30,118.77,289.54
2007-01,354.00,107.39,280.68,107.07,312.04,125.93,390.36,103.36,202.72,98.65,482.70,126.00,398.23,112.87,201.47,120.72,293.99
2007-02,356.01,108.35,283.42,107.23,312.96,127.32,395.69,104.11,204.81,99.25,484.28,126.07,400.36,107.89,192.45,121.66,296.98
2007-03,359.80,108.62,284.87,108.44,317.58,128.76,400.02,104.27,206.30,100.20,489.28,128.58,407.13,104.28,187.29,122.35,298.93
2007-04,366.36,108.57,286.00,109.08,320.24,130.77,405.33,104.12,208.01,101.43,496.71,130.96,418.07,108.61,194.36,123.85,303.41
2007-05,374.37,109.65,289.02,109.62,322.18,134.19,418.02,100.71,208.20,102.03,504.95,133.44,427.22,113.70,204.19,125.61,309.99
2007-06,376.77,109.32,289.43,109.86,323.55,133.60,420.49,94.32,208.37,102.82,510.38,133.76,428.40,116.96,210.06,125.76,310.71
2007-07,376.23,107.12,285.85,109.80,324.40,133.19,423.94,94.97,204.03,103.32,514.52,131.82,424.91,112.40,199.81,125.38,309.50
2007-08,369.95,105.40,282.35,108.93,322.68,130.26,415.38,94.44,201.98,101.38,510.64,129.88,418.46,107.77,190.30,123.69,304.74
