date,Mkt-RF,SMB,HML,RF,CAC40,Accor,AirLiquide,Airbus,ArcelorMittal,AXA,BNP-Paribas,Bouygues,Capgemini,Carrefour,CompagnieSaintGobain,Michelin,CreditAgricole,Danone,ENGIE,Essilor,Kering,Klepierre,LOreal,Lafarge,Legrand,LVMH,Nokia,Orange,PernodRicard,Peugeot,PublicisGroupe,Renault,Safran,Sanofi,SchneiderElectric,SocieteGenerale,Sodexo,Solvay,Technip,Total,UnibailRodamco,Valeo,Veolia,VINCI,Vivendi
2000-02,0.00660,-0.05150,0.03100,0.00470,0.09385,-0.10000,-0.10814,-0.03902,-0.04965,0.01241,0.00923,0.34109,0.31676,-0.03315,-0.00345,-0.10191,,-0.05091,,-0.07317,0.02450,-0.04796,0.04072,,,-0.06204,0.11470,0.26415,-0.05576,-0.00834,0.15025,-0.23191,0.39286,0.03870,-0.07586,0.04718,-0.10668,0.03286,0.04797,0.08097,-0.02383,-0.27857,,0.00229,0.16190
2000-03,-0.05580,-0.05290,0.05670,0.00460,0.01536,0.08466,0.03495,0.01421,0.06716,0.13487,0.00610,-0.03351,-0.01049,-0.14984,-0.07612,0.03423,,0.10632,,0.00376,-0.07413,-0.00322,-0.02174,,,0.13411,0.08454,0.07463,-0.04286,0.05558,0.05860,0.08696,0.17094,-0.00350,-0.00448,-0.03205,0.16978,0.03734,0.11708,0.13818,0.04500,0.01881,,-0.08673,-0.01230
2000-04,-0.00080,-0.00100,0.06050,0.00500,0.02126,-0.00366,-0.01309,0.13564,-0.14336,0.10128,0.07758,-0.15217,-0.23675,0.06945,0.12434,0.08825,,0.04113,,0.10112,0.14618,-0.02151,0.10519,,,0.05581,0.11002,-0.05444,-0.00995,0.00708,-0.04643,0.11111,-0.00146,0.03011,0.07946,0.09309,0.01353,-0.00800,-0.01103,0.06645,0.01460,0.18562,,0.07742,-0.09710
2000-05,0.00670,0.00220,0.02940,0.00400,0.00102,0.06242,0.05098,-0.06963,-0.20000,-0.01660,0.08830,-0.05413,-0.06991,0.05936,-0.00400,-0.02740,,0.04407,,0.07143,0.03966,0.00494,-0.01005,,,-0.05286,-0.10112,-0.08049,0.13568,-0.03339,-0.17097,0.01000,-0.07968,0.13886,-0.00833,0.08604,0.05036,-0.03226,-0.10916,0.01198,-0.00144,-0.10984,,0.09744,0.05699
2000-06,-0.01580,-0.01030,0.03250,0.00480,0.00316,-0.01083,-0.00159,0.04216,-0.00510,0.04430,0.04186,0.05422,-0.08163,-0.05603,-0.05284,-0.05324,,0.10713,,-0.04698,0.00867,0.04975,0.22817,,,-0.01212,-0.05804,-0.06454,0.00885,-0.04455,-0.07161,-0.05743,-0.02462,0.06738,0.02241,0.01859,0.09763,-0.02083,0.13327,-0.04914,0.04467,0.03131,,-0.07819,-0.19609
2000-07,-0.01600,0.00940,-0.00590,0.00500,0.01488,0.07151,0.00659,-0.17727,-0.27179,-0.00606,0.05655,-0.05071,0.14851,0.10894,0.11935,-0.03898,,0.16619,,0.06829,-0.03653,0.05729,-0.02811,,,0.08648,-0.07697,-0.06489,0.03421,0.04377,-0.00949,-0.02626,-0.12052,0.15331,0.00890,0.06349,-0.10579,0.04468,0.06551,-0.00436,0.08276,-0.10714,,0.06184,-0.06760
2000-08,-0.04980,0.02010,0.02690,0.00510,0.01268,0.05435,0.04364,-0.00884,0.09155,-0.02256,-0.02817,0.06471,0.10901,0.03400,-0.05489,0.02167,,-0.05120,,-0.02713,-0.05040,-0.00493,-0.07657,,,-0.06873,0.02218,-0.06136,0.00254,-0.05242,0.08327,0.05631,0.03367,-0.04605,0.12695,-0.00448,0.03826,-0.00475,0.08222,0.04503,0.08917,0.20800,0.15030,0.23403,0.06729
2000-09,-0.02720,-0.06950,0.07670,0.00560,-0.05415,-0.13278,-0.07387,0.10647,-0.26452,-0.07673,-0.03478,-0.19293,-0.09362,0.01949,-0.04873,-0.04545,,0.01170,,-0.10577,-0.06294,0.02475,0.08047,,,-0.02117,-0.08579,-0.05525,-0.03553,-0.03175,-0.21542,-0.00735,-0.21993,0.10929,-0.13976,-0.05022,0.02098,-0.08254,0.08145,-0.00778,-0.02456,-0.18675,0.08668,0.01316,-0.08478
2000-10,-0.04530,-0.01490,0.11330,0.00510,0.02091,0.13409,0.04816,0.20907,-0.26316,0.05405,0.01702,0.05079,-0.11737,-0.05496,0.09403,0.08254,,0.05913,,0.01434,0.05414,-0.08213,0.02331,,,0.00526,0.06593,0.01483,-0.05263,0.07799,0.11416,0.20576,-0.10707,0.01806,0.07493,0.05604,0.02443,-0.10781,-0.04557,0.01689,-0.05875,0.04438,0.04762,0.02597,0.00594
2000-11,0.05680,0.00410,0.03310,0.00500,-0.07340,-0.09224,0.07897,0.00417,-0.04762,0.03205,-0.12598,-0.15833,-0.15479,-0.12453,0.01668,-0.03226,,-0.07342,,0.18163,-0.01094,0.04737,0.02111,,,-0.11628,-0.02021,-0.21672,0.19074,0.09355,-0.11154,-0.06314,-0.41157,0.12903,-0.07492,-0.07324,0.11653,-0.08667,-0.11671,-0.02550,0.07643,0.03314,0.07955,0.04726,-0.16175
