year,month,day,MKT_RF,SMB,HML,RF,GE,XOM,AAPL,R3000,R2000,SP500
1926,7,1,0.0295,-0.025,-0.0267,0.0022,,,,,,
1926,8,1,0.0263,-0.012,0.045,0.0025,,,,,,
1926,9,1,0.0038,-0.0133,-0.003,0.0023,,,,,,
1926,10,1,-0.0324,-0.0013,0.0079,0.0032,,,,,,
1926,11,1,0.0254,-0.0024,-0.0039,0.0031,,,,,,
1926,12,1,0.0262,-0.0022,-0.0011,0.0028,,,,,,
1927,1,1,-0.0011,-0.0017,0.0486,0.0025,,,,,,
1927,2,1,0.0411,0.0037,0.0326,0.0026,,,,,,
1927,3,1,-0.0015,-0.0162,-0.0262,0.003,,,,,,
1927,4,1,0.0052,0.0025,0.0066,0.0025,,,,,,
1927,5,1,0.054,0.0134,0.0465,0.003,,,,,,
1927,6,1,-0.0204,0.0106,-0.0219,0.0026,,,,,,
1927,7,1,0.071,-0.0315,-0.0097,0.003,,,,,,
1927,8,1,0.0196,-0.0065,-0.0359,0.0028,,,,,,
1927,9,1,0.0482,-0.0359,-0.0082,0.0021,,,,,,
1927,10,1,-0.0451,0.0226,-0.0402,0.0025,,,,,,
1927,11,1,0.0686,0.0242,-0.0093,0.0021,,,,,,
1927,12,1,0.025,0.0052,-0.0145,0.0022,,,,,,
1928,1,1,-0.008,0.0438,-0.0074,0.0025,,,,,,
1928,2,1,-0.0161,-0.0217,-0.0066,0.0033,,,,,,
1928,3,1,0.0876,-0.0012,-0.0102,0.0029,,,,,,
1928,4,1,0.042,0.039,0.0375,0.0022,,,,,,
1928,5,1,0.0167,0.0273,-0.038,0.0032,,,,,,
1928,6,1,-0.0492,-0.0348,-0.0014,0.0031,,,,,,
1928,7,1,0.0058,-0.0136,0.0005,0.0032,,,,,,
1928,8,1,0.0657,-0.0135,-0.0204,0.0032,,,,,,
1928,9,1,0.0277,0.0157,0.0142,0.0027,,,,,,
1928,10,1,0.013,0.0249,-0.0309,0.0041,,,,,,
1928,11,1,0.119,-0.0243,0.0306,0.0038,,,,,,
1928,12,1,0.0028,-0.0099,-0.0021,0.0006,,,,,,
1929,1,1,0.0455,-0.0259,-0.0222,0.0034,,,,,,
1929,2,1,-0.0038,0.0068,0.0144,0.0036,,,,,,
1929,3,1,-0.009,-0.0444,0.0096,0.0034,,,,,,
1929,4,1,0.0136,-0.0069,0.0085,0.0036,,,,,,
1929,5,1,-0.0665,-0.0642,0.0136,0.0044,,,,,,
