date,MKT_RF,SMB,HML,RF,GE,AT_T,WMT,JPM,PFE
198408,0.10280,-0.00220,-0.01830,0.00830,0.07564,0.04427,0.08079,0.03704,0.10652
198409,-0.00800,0.00210,0.05310,0.00860,-0.00659,0.03913,-0.02874,0.12493,-0.02113
198410,-0.00840,-0.01200,0.00480,0.01000,0.03090,0.01345,-0.01764,-0.01653,0.08523
198411,-0.01760,-0.00620,0.04040,0.00730,-0.02781,0.01703,-0.05490,0.06844,0.02794
198412,0.01840,-0.00580,-0.00140,0.00640,0.02233,0.06007,-0.05011,0.08909,0.08004
198501,0.07990,0.03260,-0.05390,0.00650,0.12048,0.04794,0.18343,0.08338,-0.05792
198502,0.01220,0.00780,-0.00170,0.00580,0.00473,0.01704,0.00000,0.04879,0.01881
198503,-0.00840,-0.01110,0.04030,0.00620,-0.07335,0.01008,-0.01788,-0.03276,0.06318
198504,-0.00960,0.00170,0.03710,0.00720,0.00000,0.02663,0.04919,0.00995,0.03720
198505,0.05090,-0.02270,-0.00880,0.00660,0.03421,0.06277,0.11095,0.08839,0.12419
198506,0.01270,0.00480,0.00430,0.00550,0.02041,0.04723,0.04337,0.01212,-0.01005
198507,-0.00740,0.02850,-0.01670,0.00620,0.03572,-0.01392,-0.09851,-0.00913,-0.01815
198508,-0.01020,-0.00320,0.02290,0.00550,-0.04996,0.00765,0.04583,-0.02164,-0.00259
198509,-0.04540,-0.01590,0.01290,0.00600,-0.04977,-0.05001,-0.08045,-0.16161,-0.01571
198510,0.04020,-0.01560,0.00770,0.00650,0.00217,0.02080,0.10431,0.14881,-0.03490
198511,0.06480,0.00210,-0.02930,0.00610,0.13000,0.02684,0.11147,0.06534,0.16158
198512,0.03880,-0.00490,-0.01560,0.00650,0.11195,0.06337,0.07436,0.10354,-0.05290
198601,0.00650,0.01200,0.00530,0.00560,-0.02611,0.01618,0.00781,-0.02511,-0.03671
198602,0.07130,-0.00640,-0.00880,0.00530,0.09684,0.03312,0.05673,0.08135,0.13515
198603,0.04880,-0.00510,-0.00510,0.00600,0.01282,0.05108,0.14783,0.14251,0.08230
198604,-0.01310,0.02830,-0.02900,0.00520,-0.00479,0.00496,0.02817,-0.02549,-0.01466
198605,0.04620,-0.01310,-0.00120,0.00490,0.02059,0.08360,0.16729,0.00234,0.06629
198606,0.01030,-0.00930,0.01390,0.00520,0.02285,0.09326,0.08110,-0.02817,0.12855
198607,-0.06450,-0.03370,0.04760,0.00520,-0.10399,-0.03123,-0.10939,-0.15537,-0.06261
198608,0.06070,-0.04170,0.03520,0.00460,0.07423,0.10333,0.01163,0.10536,0.01855
198609,-0.08600,0.02280,0.03200,0.00450,-0.08181,-0.08907,-0.11248,-0.10267,-0.15906
198610,0.04660,-0.02560,-0.01440,0.00460,0.05909,0.02631,0.06621,0.01146,0.02972
198611,0.01170,-0.01980,-0.00090,0.00390,0.08482,0.04222,0.05948,0.01414,0.02748
198612,-0.03270,0.00080,0.00310,0.00490,0.04308,0.00335,-0.02304,-0.03781,0.00000
198701,0.12470,-0.01790,-0.03210,0.00420,0.15332,0.05235,0.04211,0.10388,0.11177
198702,0.04390,0.03460,-0.05960,0.00430,0.03070,-0.00322,0.12121,-0.00803,0.07292
198703,0.01640,0.00400,0.01590,0.00470,0.02052,0.00750,0.05007,-0.04650,-0.00689
198704,-0.02110,-0.01700,-0.00320,0.00440,-0.01320,-0.07080,-0.01533,-0.02899,-0.02625
198705,0.00110,-0.00550,0.00160,0.00380,0.00482,0.03877,0.03258,-0.01183,-0.07267
198706,0.03940,-0.02170,0.01060,0.00480,0.05091,0.04270,0.14589,0.01523,0.10036
198707,0.03850,-0.00630,0.00710,0.00460,0.08586,-0.01108,0.09682,-0.05506,0.03191
198708,0.03520,-0.00750,-0.00910,0.00470,0.05340,0.04517,0.08438,0.01560,-0.04322
198709,-0.02590,0.00540,0.00280,0.00450,-0.01083,0.10188,-0.06701,-0.03981,-0.02143
198710,-0.23240,-0.08400,0.04200,0.00600,-0.26094,-0.11458,-0.31557,-0.34503,-0.27453
198711,-0.07770,0.02640,0.03230,0.00350,-0.11154,-0.14408,-0.14067,-0.04740,-0.12314
198712,0.06810,0.00150,-0.04430,0.00390,0.04876,0.01465,0.08143,-0.15777,0.01078
198801,0.04210,-0.00690,0.05160,0.00290,0.02241,0.13035,0.05153,0.00583,0.15835
198802,0.04750,0.03350,-0.01640,0.00460,0.00828,-0.02632,0.07051,0.15082,0.00500
198803,-0.02270,0.06150,0.00740,0.00440,-0.11169,-0.03390,-0.04215,-0.12935,0.01370
198804,0.00560,0.00960,0.01700,0.00460,0.00000,-0.01072,-0.01342,0.14154,-0.00227
198805,-0.00290,-0.02650,0.02280,0.00510,0.03946,0.07512,0.01786,0.15921,-0.04376
198806,0.04790,0.02100,-0.01120,0.00490,0.05190,0.04187,0.08209,0.08066,-0.00964
198807,-0.01250,-0.00190,0.02260,0.00510,-0.02598,-0.02610,0.07090,0.02419,0.00509
198808,-0.03310,0.00090,0.02080,0.00590,-0.05716,-0.00992,-0.09020,0.01972,-0.01224
198809,0.03300,-0.01270,-0.00670,0.00620,0.07982,0.07054,0.07232,0.02115,0.06899
198810,0.01150,-0.02900,0.01670,0.00610,0.00575,0.04592,-0.02751,-0.00391,0.04934
198811,-0.02290,-0.01720,0.01270,0.00570,0.03103,-0.00301,-0.03652,0.04599,0.00250
198812,0.01490,0.01940,-0.01540,0.00630,0.00233,-0.02748,0.03786,-0.05316,0.02179
198901,0.06100,-0.02130,0.00530,0.00550,0.07789,0.09289,0.07297,0.04725,0.00334
198902,-0.02250,0.02770,0.00860,0.00610,-0.05579,0.00000,-0.05716,-0.03922,-0.04435
198903,0.01570,0.00730,0.00480,0.00670,-0.01870,0.02825,0.02104,0.16697,0.04218
198904,0.04330,-0.00600,-0.01450,0.00670,0.09378,0.08451,0.10228,-0.00347,0.07333
