date,BRSN.L,FNC.MI,FRA.DE,ROCH.PA,DPW.DE,SU.PA,SIE.DE,WOS.L,STOXX.EU.SCAP,STOXX.EU.LCAP,FCHI,GDAXI,FTSE,Mkt.RF,SMB,HML,WML,RF
200601,0.031984235,0.096280088,0.16697539,0.036371604,0.132331903,0.141112619,0.056048835,0.105305643,0.042348168,0.031862237,0.049363446,0.049163687,0.025183313,0.0637,0.0222,0.015,0.0441,0.0035
200602,-0.014012926,0.024617432,0.226303855,0.023255814,-0.054958939,-0.002774475,0.025748818,0.045790363,0.059360175,0.017923824,0.010602285,0.021481632,0.005416385,0.0055,0.0225,0.0162,0.0076,0.0034
200603,0.010666508,0.02012987,-0.022559172,0.082231405,-0.056149733,0.038950715,0.000512295,8.99374E-05,0.045470203,0.017297816,0.044076033,0.030027398,0.02988863,0.0401,0.0067,0.0159,0.0224,0.0037
200604,-0.035995401,0.014640356,-0.045024593,0.042764414,0.021246459,0.007268554,-0.026455026,-0.028994273,0.023668314,0.005076142,-0.006215463,0.006668252,0.009807866,0.0523,0.0171,-0.0035,0.0311,0.0036
200605,-0.04853211,-0.055207026,-0.107369255,0.078359575,0.03259362,-0.050892518,-0.105014025,-0.092498397,0.012445684,-0.050974223,-0.049768715,-0.052751381,-0.049692019,-0.0362,-0.0079,-0.0085,-0.0307,0.0043
200606,0.05714653,-0.003320053,0.041278296,-0.082173175,-0.009402283,0.006802721,0.013516161,-0.042536715,-0.058337307,0.006688574,0.007257342,-0.00167754,0.019148118,-0.0029,-0.015,-0.0046,-0.0124,0.004
200607,0.009029826,-0.027981346,0.022591645,-0.045135035,-0.075254237,-0.012321145,-0.072284499,-0.044424381,-0.003544902,0.018025825,0.008751581,-0.000235778,0.016268386,0.01,-0.018,0.0136,0.001,0.004
200608,0.017325539,0.023989034,0.056481867,-0.077101898,0.021260997,0.034205231,0.048541667,0.004385197,0.006267999,0.024999291,0.031065473,0.031256765,-0.00374475,0.0272,-0.0034,0.0056,-0.0019,0.0042
200609,0.004353879,0.018741633,-0.09903334,0.06675063,0.045944006,0.056420233,0.039737731,-0.016593173,0.03681257,0.016195117,0.016450986,0.024704884,0.009261611,0.0069,0.0005,0.005,0.0115,0.0041
200610,0.022382778,0.069645204,-0.007663674,-0.03699331,0.048043926,-0.074401473,0.024651252,0.104527186,0.035505521,0.033154439,0.018803774,0.044066532,0.028251241,0.0378,0.0009,0.0144,0.0073,0.0041
200611,0.03663215,-0.005528256,-0.014563107,0.025745811,0.037328094,0.004377238,0.019395748,-0.039548125,0.045107673,-0.008622508,-0.003942992,0.006423754,-0.01310122,0.0377,0.0259,0.002,0.0177,0.0042
200612,-0.010295222,0.096355775,0.018137035,0.014342629,0.014520202,0.028526149,0.045554336,0.036135701,0.017454364,0.035029391,0.040190403,0.045604903,0.02841839,0.0337,0.0091,0.0054,0.0286,0.004
200701,0.067446372,0.05915493,0.086870464,0.122937942,0.033602987,0.101694915,0.145406824,0.068937036,0.06060755,0.020172688,0.01200882,0.029133293,-0.002845293,0.0065,0.0191,0.0088,0.0096,0.0044
200702,-0.03903287,0.026595745,0.06131121,-0.018887723,0.022275738,-0.009090909,-0.056370302,-0.029590193,0.023450897,-0.021385929,-0.016402446,-0.010851201,-0.005094227,-0.0055,0.013,-0.0005,0.0098,0.0038
200703,0.126706134,0.008290155,-0.122592946,0.007843137,-0.0606596,0.035285815,0.003399709,-0.06696458,-0.014173799,0.021415701,0.021362067,0.030018882,0.0221178,0.0369,0.0069,0.0004,0.0202,0.0043
