date,ibmrtn,vwrtn,ewrtn,sprtn
1926-01-30,-0.01038,0.00072,0.02317,0.02247
1926-02-27,-0.02448,-0.03337,-0.05351,-0.04396
1926-03-31,-0.11559,-0.06434,-0.09682,-0.05911
1926-04-30,0.08978,0.03836,0.03295,0.02269
1926-05-28,0.03693,0.01217,0.00104,0.00768
1926-06-30,0.06849,0.05689,0.05049,0.04318
1926-07-31,0,0.02837,0.01308,0.04546
1926-08-31,0,0.02807,0.031,0.01708
1926-09-30,0.0651,0.00589,-0.0065,0.0229
1926-10-30,0.03226,-0.03107,-0.03463,-0.03134
1926-11-30,0.03125,0.02755,0.02478,0.02234
1926-12-31,0.0303,0.03047,0.02552,0.01658
1927-01-31,0.02304,0.00145,0.01256,-0.02076
1927-02-28,0.08108,0.04582,0.05576,0.04769
1927-03-31,0.18333,0.00625,-0.01929,0.0065
1927-04-30,0.07857,0.00664,0.00749,0.01723
1927-05-31,0.14901,0.05695,0.06269,0.05222
1927-06-30,-0.04899,-0.02037,-0.01971,-0.00939
1927-07-30,0,0.07566,0.05808,0.065
1927-08-31,0.11963,0.02705,0.00425,0.0445
1927-09-30,0.01918,0.04903,0.03231,0.04321
1927-10-31,-0.00815,-0.04189,-0.03853,-0.05309
1927-11-30,0.09041,0.06869,0.09776,0.06778
1927-12-31,0.21859,0.02366,0.02968,0.01904
1928-01-31,0.04167,-0.00354,0.03244,-0.0051
1928-02-29,0.028,-0.01442,-0.02251,-0.01764
1928-03-31,0.00486,0.09091,0.07158,0.10834
1928-04-30,-0.00684,0.04317,0.08747,0.03241
1928-05-31,-0.01575,0.01839,0.03759,0.01266
1928-06-30,-0.004,-0.04533,-0.06907,-0.0405
1928-07-31,-0.01014,0.01007,0.00305,0.01251
1928-08-31,0.07172,0.06961,0.0584,0.07411
1928-09-29,0.07839,0.03145,0.04924,0.02396
1928-10-31,0.03578,0.0188,0.01747,0.01451
1928-11-30,0.10535,0.12129,0.1152,0.11993
1928-12-31,0.03195,0.00526,-0.00555,0.00288
1929-01-31,-0.02003,0.0521,0.03353,0.05708
1929-02-28,0.05315,-0.00019,0.00649,-0.00583
1929-03-28,0.00155,-0.00797,-0.03211,-0.00235
1929-04-30,0.12422,0.01679,0.01402,0.01606
1929-05-31,-0.01181,-0.05911,-0.09105,-0.04279
1929-06-29,0.18847,0.09965,0.07343,0.11236
1929-07-31,0.10952,0.04535,0.01856,0.04562
1929-08-30,0.03434,0.08558,0.02837,0.09799
1929-09-30,-0.04824,-0.05001,-0.04373,-0.04888
1929-10-31,-0.18904,-0.1955,-0.21215,-0.19927
1929-11-27,-0.22297,-0.12327,-0.12253,-0.13375
1929-12-31,0.19426,0.01797,-0.0256,0.02534
1930-01-31,0.0108,0.05664,0.10983,0.06247
1930-02-28,0.06794,0.0277,0.0336,0.0215
1930-03-31,0.04932,0.07503,0.10375,0.0799
1930-04-30,-0.00412,-0.02089,-0.0416,-0.00955
1930-05-29,0.07586,-0.01325,-0.03723,-0.01647
1930-06-30,-0.10513,-0.15787,-0.18816,-0.16456
1930-07-31,0,0.03966,0.03763,0.03666
1930-08-29,0.04046,0.00412,-0.01732,0.00754
1930-09-30,-0.1125,-0.12401,-0.15048,-0.13009
1930-10-31,-0.09795,-0.08699,-0.09606,-0.08876
1930-11-29,0.02277,-0.02599,-0.02413,-0.02184
1930-12-31,0.08956,-0.07842,-0.13685,-0.07423
1931-01-31,0.025,0.06253,0.14183,0.04889
1931-02-28,0.1252,0.1094,0.15675,0.11436
1931-03-31,-0.04913,-0.06404,-0.06187,-0.06916
1931-04-30,-0.02301,-0.09848,-0.15087,-0.09587
1931-05-29,-0.21193,-0.13292,-0.14038,-0.13718
1931-06-30,0.19124,0.13796,0.18217,0.13902
1931-07-31,-0.09122,-0.06503,-0.07021,-0.07417
1931-08-31,0.07063,0.00235,-0.01872,0.00947
1931-09-30,-0.22917,-0.29007,-0.31275,-0.29942
1931-10-31,0.11416,0.07916,0.10533,0.08445
1931-11-30,-0.01639,-0.08878,-0.08822,-0.09782
1931-12-31,-0.07469,-0.13341,-0.18724,-0.14526
1932-01-30,-0.04556,-0.01078,0.08592,-0.02833
1932-02-29,0.02387,0.056,0.02273,0.0507
1932-03-31,-0.04295,-0.10874,-0.11956,-0.11822
