year,month,pai1,pai3,tb1,tb3,cpi
1950,2,-3.5523,1.1294,1.1009,1.1294,23.5
1950,3,5.2475,4.0016,1.1255,1.1373,23.6
1950,4,1.6929,4.4922,1.1157,1.1423,23.6
1950,5,5.0643,7.8175,1.1464,1.1779,23.7
1950,6,6.7193,9.4336,1.1585,1.1678,23.8
1950,7,11.6689,9.9761,1.1511,1.1677,24.1
1950,8,9.9125,8.2590,1.1465,1.1677,24.3
1950,9,8.3468,6.5765,1.2766,1.3105,24.4
1950,10,6.5178,9.1531,1.3034,1.3305,24.6
1950,11,4.8651,13.3652,1.2787,1.3418,24.7
1950,12,16.0763,16.4308,1.3394,1.3914,25.0
1951,1,19.1542,12.6223,1.3335,1.3661,25.4
1951,2,14.0619,6.7530,1.3362,1.3751,25.7
1951,3,4.6508,3.6080,1.3100,1.3857,25.8
1951,4,1.5463,1.5443,1.4865,1.5186,25.8
1951,5,4.6270,1.5423,1.3694,1.4778,25.9
1951,6,-1.5404,0.0000,1.4124,1.5238,25.9
1951,7,1.5404,3.0709,1.4782,1.5798,25.9
1951,8,0.0000,4.5916,1.5232,1.6229,25.9
1951,9,7.6723,6.6614,1.5594,1.6530,26.1
1951,10,6.1026,5.6151,1.6080,1.6712,26.2
1951,11,6.2095,3.5809,1.3544,1.5735,26.4
1951,12,4.5332,-1.0106,1.3820,1.6153,26.5
1952,1,0.0000,-2.5216,1.6994,1.7742,26.5
1952,2,-7.5649,4.0019,1.3363,1.5754,26.3
1952,3,0.0000,6.0254,1.2558,1.6153,26.3
1952,4,19.5705,6.5235,1.4348,1.5338,26.4
1952,5,-1.4942,0.0000,1.6114,1.6820,26.4
1952,6,1.4942,0.0000,1.6480,1.7641,26.5
1952,7,0.0000,-0.4981,1.7644,1.7679,26.7
1952,8,-1.4942,0.0000,1.8114,1.8963,26.7
1952,9,0.0000,0.4981,1.6602,1.8648,26.7
1952,10,1.4942,0.0000,1.5276,1.7559,26.7
1952,11,0.0000,-1.4960,1.4965,1.7934,26.7
1952,12,-1.4942,-3.4994,1.7095,1.9920,26.7
1953,1,-2.9939,-1.9984,1.9535,2.0272,26.6
1953,2,-6.0103,-0.4999,1.8210,1.9820,26.5
1953,3,3.0089,2.5027,2.0033,2.1245,26.6
1953,4,1.5016,2.9939,1.9894,2.0467,26.6
1953,5,2.9976,3.4864,2.0973,2.2744,26.7
1953,6,4.4825,3.4777,1.8367,2.2674,26.8
1953,7,2.9790,2.4779,1.6772,1.9940,26.8
1953,8,2.9715,2.4718,1.9020,2.1195,26.9
1953,9,1.4831,0.0000,1.7758,1.9614,26.9
1953,10,2.9607,-0.9893,1.3137,1.5406,27.0
1953,11,-4.4437,-0.9869,0.9232,1.2694,26.9
1953,12,-1.4849,0.0000,1.1898,1.5644,26.9
1954,1,2.9680,0.0000,1.2600,1.3970,26.9
1954,2,-1.4831,-1.9360,0.9514,1.0153,26.9
1954,3,-1.4849,-0.4950,0.8443,1.0050,26.9
1954,4,-2.8399,0.4950,0.9760,1.0185,26.8
1954,5,2.8399,1.4416,0.6461,0.7917,26.9
1954,6,1.4849,0.0000,0.5774,0.7002,26.9
1954,7,0.0000,-1.4416,0.5864,0.6292,26.9
1954,8,-1.4849,-2.4357,0.6332,0.7815,26.9
1954,9,-2.8399,-0.9466,1.0298,1.0309,26.8
1954,10,-2.9823,-0.9941,0.8492,0.9904,26.8
1954,11,2.9823,0.0000,0.7770,1.0050,26.8
1954,12,-2.9823,-0.9941,0.8673,1.0327,26.7
1955,1,0.0000,0.4973,0.9482,1.0050,26.7
1955,2,0.0000,0.4973,1.1004,1.1169,26.7
1955,3,1.4920,0.4973,1.0743,1.3710,26.7
1955,4,0.0000,0.0000,1.2723,1.4128,26.7
1955,5,0.0000,0.9929,1.4598,1.6001,26.7
1955,6,0.0000,0.0000,1.0498,1.4242,26.7
1955,7,2.9787,1.4434,1.2723,1.4839,26.8
1955,8,-2.9787,0.4505,1.6964,1.7681,26.8
1955,9,4.3302,1.9384,1.9648,2.1006,26.9
1955,10,0.0000,-0.4505,2.1178,2.1603,26.9
1955,11,1.4849,-0.4505,2.0276,2.1448,26.9
1955,12,-2.8364,-0.9455,1.9791,2.4463,26.8
1956,1,0.0000,0.9455,2.4016,2.5121,26.8
1956,2,0.0000,1.4398,2.2632,2.3714,26.8
1956,3,2.8364,3.4112,1.9405,2.3045,26.8
1956,4,1.4831,4.3829,2.2067,2.3084,26.9
1956,5,5.9140,6.8134,2.6075,2.7057,27.0
1956,6,5.7516,4.3561,2.3025,2.5993,27.2
1956,7,8.7746,2.9249,2.3017,2.4304,27.4
1956,8,-1.4579,1.8942,2.0552,2.3498,27.3
1956,9,1.4579,2.8633,2.3704,2.6896,27.4
1956,10,5.6825,3.3418,2.6605,2.9408,27.5
1956,11,1.4494,1.4476,2.5456,2.8840,27.5
