date,WFIVX,VRTTX,FSKAX,FZROX,VTSAX,SWTSX
2010-01-01,5.48,,,,20.84,14.70
2010-02-01,5.67,,,,21.54,15.20
2010-03-01,6.01,,,,22.80,16.14
2010-04-01,6.13,,,,23.40,16.47
2010-05-01,5.65,,,,21.53,15.18
2010-06-01,5.33,,,,20.21,14.35
2010-07-01,5.70,,,,21.73,15.35
2010-08-01,5.44,,,,20.70,14.63
2010-09-01,5.94,,,,22.55,16.00
2010-10-01,6.16,84.82,,,23.56,16.62
2010-11-01,6.19,85.30,,,23.70,16.72
2010-12-01,6.53,90.63,,,25.18,17.53
2011-01-01,6.70,92.63,,,25.87,18.23
2011-02-01,6.99,96.00,,,26.81,18.88
2011-03-01,7.01,96.14,,,26.82,18.97
2011-04-01,7.20,99.31,,,27.73,19.54
2011-05-01,7.11,98.17,,,27.41,19.32
2011-06-01,6.99,96.10,,,26.81,18.99
2011-07-01,6.83,94.20,,,26.32,18.56
2011-08-01,6.42,88.57,,,24.74,17.46
2011-09-01,5.93,81.26,,,22.70,16.12
2011-10-01,6.60,91.05,29.07,,25.45,17.97
2011-11-01,6.58,90.79,28.99,,25.38,17.93
2011-12-01,6.54,91.09,28.76,,25.44,17.74
2012-01-01,6.95,96.13,30.71,,26.89,18.96
2012-02-01,7.24,100.19,32.00,,28.04,19.77
2012-03-01,7.46,102.90,33.00,,28.77,20.37
2012-04-01,7.40,102.60,32.68,,28.72,20.25
2012-05-01,6.94,96.25,30.75,,26.93,19.00
2012-06-01,7.21,99.59,31.96,,27.85,19.26
2012-07-01,7.28,101.01,32.29,,28.28,19.96
2012-08-01,7.45,103.52,33.09,,28.99,20.45
2012-09-01,7.64,105.73,33.95,,29.59,20.98
2012-10-01,7.51,104.39,33.34,,29.21,20.61
2012-11-01,7.55,105.19,33.60,,29.43,20.76
2012-12-01,7.54,105.81,33.46,,29.57,20.58
2013-01-01,8.05,112.30,35.88,,31.42,22.16
2013-02-01,8.15,113.79,36.34,,31.82,22.45
2013-03-01,8.47,117.80,37.77,,32.92,23.32
2013-04-01,8.61,120.15,38.29,,33.63,23.71
2013-05-01,8.80,122.97,39.33,,34.42,24.28
2013-06-01,8.68,120.80,38.83,,33.83,23.98
2013-07-01,9.15,128.01,40.93,,35.85,25.28
2013-08-01,8.88,124.43,39.75,,34.84,24.55
2013-09-01,9.19,128.49,41.21,,35.95,25.46
2013-10-01,9.58,134.53,42.96,,37.65,26.53
2013-11-01,9.85,138.42,44.20,,38.74,27.31
2013-12-01,9.97,141.33,44.77,,39.56,27.46
2014-01-01,9.80,137.56,43.95,,38.53,27.13
2014-02-01,10.25,144.08,46.03,,40.36,28.41
2014-03-01,10.32,144.27,46.28,,40.40,28.56
2014-04-01,10.35,145.00,46.18,,40.60,28.60
2014-05-01,10.56,148.15,47.32,,41.48,29.21
2014-06-01,10.81,151.20,48.52,,42.37,29.95
2014-07-01,10.60,148.88,47.55,,41.70,29.36
2014-08-01,11.03,155.11,49.54,,43.45,30.59
2014-09-01,10.81,151.25,48.48,,42.34,29.93
2014-10-01,11.09,156.06,49.83,,43.70,30.76
2014-11-01,11.37,159.84,51.04,,44.76,31.50
