Index,AABA.AS,ACA.PA,AGN.AS,AIB.IR,ALV.DE,BAS.DE,BAY.DE,BBVA.MC,BNP.PA,CA.PA,ALU.PA,DBK.DE,DAI.DE,DTE.DE,ELE.MC,ENEL.MI,ENI.MI,FORA.AS,FTE.PA,G.MI,GLE.PA,INGA.AS,ISP.MI,LG.PA,MC.PA,MUV2.DE,OR.PA,PHIA.AS,REP.MC,RNO.PA,RWE.DE,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SZE.PA,TEF.MC,UC.MI,VIV.PA
2003-03-03,10.4,11.42,5.54,10.39,56.75,28.55,10.46,5.91,30.83,28.76,6,33.69,21.66,9.64,8.37,3.14,9.94,6.62,15.99,18.77,36.82,8.06,1.14,41.53,34.51,68.87,52.24,11.98,11.46,27.27,18.49,2.57,41.31,16.18,22.53,33.67,10.06,7.68,2.2,9.89
2003-03-10,11.26,11.93,6.58,10.77,55.19,27.03,8.84,6.31,33.63,31.5,6.33,32.37,20.77,9.66,8.45,3.11,9.62,7.81,18.65,19.17,38.47,9.38,1.17,44.05,37.42,65.29,55.46,13.61,11.52,27.55,17.43,2.75,41.66,17.72,22.75,33.47,9.79,7.97,2.43,11.65
2003-03-17,12.16,12.04,6.7,11.06,55.97,33.34,12.06,6.9,36.37,34.71,6.93,39.36,24.24,10.02,9.04,3.14,9.97,8.32,17.76,18.83,42.91,10.18,1.27,49.12,38.24,69.82,56.63,15.42,12.36,29.84,20.07,3.04,45.94,18.13,24.47,38.86,10.43,8.7,2.59,12.38
2003-03-24,11.34,12.21,6.17,10.63,45.69,31.04,11.28,6.53,33.33,32.86,6.53,35.97,22.64,9.84,8.9,3.22,9.68,7.56,16.62,18.33,39.37,9.25,1.22,45.07,35.03,50.55,54.71,13.89,12.2,26.31,19.51,2.87,42.99,16.74,23.76,36.01,10,8.15,2.48,11.48
2003-03-31,11.97,12.52,6.32,10.75,45.71,33.63,12.24,7.16,35.52,33.99,6.62,37.35,23.83,10.74,9.28,3.27,10.25,8.12,17,17.48,41.02,9.8,1.24,48.18,33.92,54.81,59.33,14.23,12.38,28.11,20.57,3.13,46.38,17.19,24.95,37.8,10.9,8.66,2.57,11.42
2003-04-07,12.51,13.18,6.53,10.89,51.91,33.72,13.24,7.3,34.79,33.48,6.94,37.84,24.65,10.66,9.86,3.23,10.24,8.88,17.83,17.65,41.93,10.62,1.24,48.48,36.27,62,60.27,14.76,12.62,27.42,20.68,3.18,46.16,18.71,25.52,38.34,11.03,8.88,2.66,10.92
2003-04-14,12.77,13.3,7.72,11.12,53.88,34.66,14.02,7.58,35.6,34.85,7.19,41.32,25.66,11.5,10.16,3.27,10.16,9.6,18.02,18.47,45.1,11.7,1.3,48.56,37.23,70.43,60.13,15.37,12.33,29.16,21.39,3.31,47.25,21.6,25.16,40.82,11.45,9.21,2.66,11.95
2003-04-21,12.65,13.35,7.4,11.35,51.56,33.78,14.73,7.53,35.65,34.28,7,40.08,24.71,11.58,9.69,3.21,9.64,8.93,18.72,18.52,44.34,11.6,1.3,46.99,34.46,68.6,58.4,14.44,12.09,31.1,20.98,3.27,45.83,19.98,26.97,39.68,11.53,9.07,2.68,11.78
2003-04-28,11.92,13.78,7.61,11.56,60.41,35.5,14.95,7.3,36.55,36.35,7.08,42.09,25.01,11.35,9.96,3.25,9.9,8.95,17.67,19.16,46.97,11.7,1.34,52.4,35.85,77.81,60.22,15.23,11.85,32.96,22.51,3.34,47.43,22.03,27.56,41.46,13.1,8.95,2.73,12.14
2003-05-05,12.27,13.93,7.22,11.9,60.87,34.54,15.69,6.89,36.45,35.67,6.77,42.76,24.48,10.98,10.05,3.45,10.18,9.01,17.53,18.93,47.06,12.02,1.32,52.78,36.29,76.1,59.52,15.17,12.04,33.19,22.99,3.2,47.74,21.4,28,41.01,12.88,8.8,2.78,11.95
2003-05-12,13.02,14.25,7.53,11.35,62.57,34.48,16.9,7.1,37.92,35.85,7.02,43.52,23.18,11.52,10.3,3.46,10.25,9.1,18.07,19.29,45.74,12.07,1.43,51.12,39.63,78.73,59.19,14.96,12.27,31.66,23.18,3.28,47.96,21.28,28.23,38.89,13.38,8.82,2.79,12.55
2003-05-19,12.37,14.69,6.14,11.29,55.06,31.59,15.48,6.79,36.45,34.4,6.55,41.64,21.96,11.47,10.25,3.53,10.34,8.62,17.56,18.76,43.19,10.73,1.65,46.69,39.07,69.43,57.28,13.55,11.97,31.13,21.92,3.14,45.57,20.73,27.37,35.94,12.4,8.56,2.7,13.5
2003-05-26,13.53,14.85,6.73,10.64,60.31,33.49,15.9,6.89,36.93,35.03,7.42,44.59,22.99,12.05,10.45,3.59,10.52,8.87,18.47,19.13,44.38,11.37,1.77,46.05,40.76,78.44,58.22,15.04,12.1,32.88,22.61,3.27,48.18,22.49,28.95,37.45,13.09,8.8,2.81,13.41
2003-06-02,13.99,14.41,7.29,10.77,63.79,33.04,17.16,7.18,39.45,35.7,7.83,48.79,22.73,11.97,10.73,3.65,10.77,9.35,17.76,19.61,46.97,12.62,1.72,52.59,41.79,81.24,58.55,16.49,12.48,34.92,22.21,3.42,47.81,25.42,28.15,40.29,13.9,9.22,2.81,14.4
2003-06-09,13.98,14.78,7.47,10.62,69.23,34.68,17.3,7.5,40.04,38.07,7.41,51.59,23.9,11.76,10.91,3.64,10.78,9.7,17.23,19.38,48.42,12.7,1.75,50.5,42.02,85.91,59.44,15.31,12.68,35.79,23.57,4.59,48.44,25.39,30.29,39.08,13.76,9.31,2.93,14.1
2003-06-16,14.02,14.72,7.52,10.89,71.17,35.63,18.13,7.94,42.15,40.12,7.9,52.19,24.89,12.3,11.43,3.66,10.79,9.91,17.01,20.39,49.95,13.03,1.85,49.39,42.89,82.59,61.89,15.54,12.97,38.68,24.06,4.74,50.16,24.5,31.41,40.43,14,9.58,3.02,14.36
2003-06-23,13.76,14.51,7.57,11.11,69.02,37.72,20.13,7.72,40.53,39.06,7.61,52.83,26.39,12.8,11.34,3.53,10.81,9.88,19.05,19.62,47.35,12.82,1.88,45.83,41.5,79.64,57.13,15.48,12.74,39.2,25.32,4.68,46.28,24.81,32.89,40.63,12.64,9.47,3.04,13.98
2003-06-30,13.96,14.34,7.45,10.42,67.37,34.23,17.94,7.41,39.84,38.47,7.62,52.23,27.03,12.43,10.95,3.52,10.59,9.46,18.79,18.48,48.88,12.58,1.82,48.54,41.2,76.82,55.43,15.03,12.56,41.35,23.2,4.58,46.37,24.03,31.86,40.59,12.03,9.16,2.91,13.71
2003-07-07,13.61,14.33,8.34,10.64,73.33,36.09,18.57,7.87,40.95,39.01,7.64,53.2,27.88,12.15,11.19,3.58,10.77,10.03,18.35,18.92,49.18,13.17,1.87,51.88,43.63,80.72,56.23,16.42,12.77,42,23.77,4.76,47.99,24.79,31.95,43.21,12.48,9.26,2.92,13.54
2003-07-14,13.97,14.62,9.14,10.56,80.17,37.13,18.46,7.73,41.41,38.93,7.61,52.83,26.57,12.11,10.95,3.6,10.79,10.14,18.01,19.11,49.39,13.94,1.88,50.72,44.15,82.54,55.57,16.14,12.82,41.73,22.82,4.65,46.96,24.01,32.1,43.96,12.5,9.17,2.94,13.5
2003-07-21,13.76,14.37,9.18,10.55,78.11,36.71,17.74,7.65,40.62,37.78,7.63,52.53,26.98,12.15,11.07,3.69,10.65,9.83,18.46,18.87,50.37,14.07,1.89,50.54,44.28,79.73,54.63,16.23,12.86,43.31,22.8,4.62,46.55,23.44,30.76,45.54,12.5,9.26,2.97,13.67
