month.oil,day.oil,year.oil,date.oil,oil.world,oil.US,date.gas,gas
1,3,1997,1997-01-03,23.18,22.9,1997-01-06,1.225
1,10,1997,1997-01-10,23.84,23.56,1997-01-13,1.241
1,17,1997,1997-01-17,22.99,22.79,1997-01-20,1.241
1,24,1997,1997-01-24,22.05,21.83,1997-01-27,1.238
1,31,1997,1997-01-31,21.87,21.16,1997-02-03,1.236
2,7,1997,1997-02-07,21.56,20.97,1997-02-10,1.234
2,14,1997,1997-02-14,20.25,19.93,1997-02-17,1.227
2,21,1997,1997-02-21,19.78,19.38,1997-02-24,1.223
2,28,1997,1997-02-28,18.72,18.05,1997-03-03,1.215
3,7,1997,1997-03-07,18.54,17.74,1997-03-10,1.206
3,14,1997,1997-03-14,18.57,17.79,1997-03-17,1.2
3,21,1997,1997-03-21,18.81,18.36,1997-03-24,1.204
3,28,1997,1997-03-28,18.51,17.95,1997-03-31,1.2
4,4,1997,1997-04-04,17.62,17.09,1997-04-07,1.203
4,11,1997,1997-04-11,16.66,16.55,1997-04-14,1.199
4,18,1997,1997-04-18,16.59,16.32,1997-04-21,1.199
4,25,1997,1997-04-25,16.94,16.59,1997-04-28,1.195
5,2,1997,1997-05-02,17.25,16.98,1997-05-05,1.193
5,9,1997,1997-05-09,17.27,16.73,1997-05-12,1.193
5,16,1997,1997-05-16,18.16,17.82,1997-05-19,1.203
5,23,1997,1997-05-23,18.83,18.45,1997-05-26,1.212
5,30,1997,1997-05-30,18.4,17.97,1997-06-02,1.215
6,6,1997,1997-06-06,17.69,17.45,1997-06-09,1.207
6,13,1997,1997-06-13,16.52,16.5,1997-06-16,1.198
6,20,1997,1997-06-20,16.57,16.4,1997-06-23,1.187
6,27,1997,1997-06-27,16.89,16.71,1997-06-30,1.181
7,4,1997,1997-07-04,17.39,17.09,1997-07-07,1.177
7,11,1997,1997-07-11,16.92,16.81,1997-07-14,1.173
7,18,1997,1997-07-18,17.13,16.91,1997-07-21,1.177
7,25,1997,1997-07-25,17.26,17,1997-07-28,1.17
8,1,1997,1997-08-01,17.68,17.31,1997-08-04,1.193
8,8,1997,1997-08-08,17.77,17.7,1997-08-11,1.228
8,15,1997,1997-08-15,17.44,17.33,1997-08-18,1.229
8,22,1997,1997-08-22,17.43,17.39,1997-08-25,1.244
8,29,1997,1997-08-29,17.08,16.99,1997-09-01,1.243
9,5,1997,1997-09-05,17.22,17.04,1997-09-08,1.243
9,12,1997,1997-09-12,17.13,16.88,1997-09-15,1.236
9,19,1997,1997-09-19,17.19,16.59,1997-09-22,1.225
9,26,1997,1997-09-26,17.61,16.95,1997-09-29,1.21
10,3,1997,1997-10-03,18.66,17.92,1997-10-06,1.209
10,10,1997,1997-10-10,19.34,18.61,1997-10-13,1.203
10,17,1997,1997-10-17,18.57,17.77,1997-10-20,1.193
10,24,1997,1997-10-24,18.51,17.75,1997-10-27,1.182
10,31,1997,1997-10-31,18.38,17.59,1997-11-03,1.176
11,7,1997,1997-11-07,18.25,17.41,1997-11-10,1.177
11,14,1997,1997-11-14,18.28,17.37,1997-11-17,1.168
11,21,1997,1997-11-21,18.07,17.19,1997-11-24,1.162
11,28,1997,1997-11-28,17.83,16.87,1997-12-01,1.152
12,5,1997,1997-12-05,17.01,16.17,1997-12-08,1.141
12,12,1997,1997-12-12,16.41,15.62,1997-12-15,1.131
12,19,1997,1997-12-19,16.04,15.42,1997-12-22,1.121
12,26,1997,1997-12-26,15.95,15.41,1997-12-29,1.112
1,2,1998,1998-01-02,15.21,14.86,1998-01-05,1.102
1,9,1998,1998-01-09,14,13.8,1998-01-12,1.094
1,16,1998,1998-01-16,13.42,13.26,1998-01-19,1.083
1,23,1998,1998-01-23,13.33,12.95,1998-01-26,1.066
1,30,1998,1998-01-30,13.82,13.26,1998-02-02,1.061
2,6,1998,1998-02-06,13.38,13.05,1998-02-09,1.053
2,13,1998,1998-02-13,12.91,12.77,1998-02-16,1.038
2,20,1998,1998-02-20,12.51,12.38,1998-02-23,1.044
2,27,1998,1998-02-27,11.96,11.66,1998-03-02,1.028
3,6,1998,1998-03-06,11.81,11.59,1998-03-09,1.018
3,13,1998,1998-03-13,10.94,10.69,1998-03-16,1.008
3,20,1998,1998-03-20,10.5,10.38,1998-03-23,1
3,27,1998,1998-03-27,12.52,12.4,1998-03-30,1.03
4,3,1998,1998-04-03,12.39,12.48,1998-04-06,1.028
4,10,1998,1998-04-10,11.83,11.91,1998-04-13,1.025
4,17,1998,1998-04-17,11.94,11.92,1998-04-20,1.028
4,24,1998,1998-04-24,12.13,11.99,1998-04-27,1.04
5,1,1998,1998-05-01,12.39,12.28,1998-05-04,1.049
5,8,1998,1998-05-08,12.68,12.8,1998-05-11,1.063
5,15,1998,1998-05-15,12.52,12.62,1998-05-18,1.072
5,22,1998,1998-05-22,12.2,12.2,1998-05-25,1.07
5,29,1998,1998-05-29,12.39,12.38,1998-06-01,1.066
6,5,1998,1998-06-05,12.11,12.06,1998-06-08,1.075
6,12,1998,1998-06-12,11.11,11.01,1998-06-15,1.066
6,19,1998,1998-06-19,9.91,9.62,1998-06-22,1.058
6,26,1998,1998-06-26,10.83,10.74,1998-06-29,1.057
7,3,1998,1998-07-03,10.82,10.72,1998-07-06,1.058
7,10,1998,1998-07-10,10.98,10.68,1998-07-13,1.054
7,17,1998,1998-07-17,11.11,11.11,1998-07-20,1.059
7,24,1998,1998-07-24,11.3,11.03,1998-07-27,1.05
7,31,1998,1998-07-31,11.7,11.53,1998-08-03,1.039
8,7,1998,1998-08-07,11.49,11.34,1998-08-10,1.033
8,14,1998,1998-08-14,11.02,10.8,1998-08-17,1.026
8,21,1998,1998-08-21,11.33,10.98,1998-08-24,1.019
8,28,1998,1998-08-28,11.53,11.17,1998-08-31,1.013
9,4,1998,1998-09-04,11.61,11.14,1998-09-07,1.007
9,11,1998,1998-09-11,11.78,11.5,1998-09-14,1.002
9,18,1998,1998-09-18,11.81,11.79,1998-09-21,1.014
9,25,1998,1998-09-25,13.06,13.07,1998-09-28,1.014
10,2,1998,1998-10-02,13.76,13.5,1998-10-05,1.019
10,9,1998,1998-10-09,13.01,12.64,1998-10-12,1.022
10,16,1998,1998-10-16,12.01,11.69,1998-10-19,1.019
10,23,1998,1998-10-23,11.5,11.07,1998-10-26,1.015
10,30,1998,1998-10-30,12.11,11.77,1998-11-02,1.01
11,6,1998,1998-11-06,11.79,11.44,1998-11-09,1.008
11,13,1998,1998-11-13,11.37,10.84,1998-11-16,0.996
11,20,1998,1998-11-20,10.61,9.99,1998-11-23,0.989
11,27,1998,1998-11-27,10.54,9.72,1998-11-30,0.974
12,4,1998,1998-12-04,9.48,8.87,1998-12-07,0.954
12,11,1998,1998-12-11,9.16,8.51,1998-12-14,0.945
12,18,1998,1998-12-18,9.59,8.95,1998-12-21,0.944
12,25,1998,1998-12-25,9.41,8.73,1998-12-28,0.937
1,1,1999,1999-01-01,9.76,9.1,1999-01-04,0.935
1,8,1999,1999-01-08,10.37,10,1999-01-11,0.941
1,15,1999,1999-01-15,10.59,10.14,1999-01-18,0.944
