year,month,day,rate1y,rate3y
1962,1,5,3.24,3.7
1962,1,12,3.32,3.75
1962,1,19,3.29,3.8
1962,1,26,3.26,3.77
1962,2,2,3.29,3.8
1962,2,9,3.29,3.76
1962,2,16,3.31,3.71
1962,2,23,3.29,3.65
1962,3,2,3.2,3.52
1962,3,9,3.15,3.52
1962,3,16,3.1,3.52
1962,3,23,2.99,3.37
1962,3,30,2.96,3.39
1962,4,6,2.91,3.34
1962,4,13,2.97,3.38
1962,4,20,3,3.36
1962,4,27,3.06,3.43
1962,5,4,3.06,3.44
1962,5,11,3.01,3.38
1962,5,18,3.04,3.41
1962,5,25,3.03,3.42
1962,6,1,2.98,3.36
1962,6,8,2.96,3.34
1962,6,15,2.97,3.32
1962,6,22,3.04,3.39
1962,6,29,3.16,3.51
1962,7,6,3.22,3.59
1962,7,13,3.27,3.62
1962,7,20,3.33,3.64
1962,7,27,3.32,3.61
1962,8,3,3.3,3.59
1962,8,10,3.28,3.53
1962,8,17,3.21,3.46
1962,8,24,3.15,3.39
1962,8,31,3.11,3.4
1962,9,7,3.13,3.44
1962,9,14,3.06,3.42
1962,9,21,3.04,3.41
1962,9,28,3.03,3.37
1962,10,5,2.98,3.3
1962,10,12,2.99,3.32
1962,10,19,2.96,3.32
1962,10,26,2.98,3.36
1962,11,2,2.98,3.36
1962,11,9,2.98,3.36
1962,11,16,2.99,3.39
1962,11,23,3.01,3.42
1962,11,30,3.03,3.42
1962,12,7,3.02,3.42
1962,12,14,2.99,3.38
1962,12,21,3,3.34
1962,12,28,3.01,3.34
1963,1,4,3.04,3.39
1963,1,11,3.03,3.38
1963,1,18,3.01,3.36
1963,1,25,3.06,3.43
1963,2,1,3.05,3.42
1963,2,8,3,3.39
1963,2,15,3,3.39
1963,2,22,3.01,3.37
1963,3,1,3.03,3.41
1963,3,8,2.99,3.4
1963,3,15,3,3.4
1963,3,22,3.05,3.41
1963,3,29,3.1,3.45
1963,4,5,3.08,3.44
1963,4,12,3.1,3.46
1963,4,19,3.14,3.52
1963,4,26,3.13,3.54
1963,5,3,3.11,3.53
1963,5,10,3.09,3.52
1963,5,17,3.09,3.52
1963,5,24,3.12,3.53
1963,5,31,3.19,3.59
1963,6,7,3.23,3.63
1963,6,14,3.18,3.6
1963,6,21,3.19,3.61
1963,6,28,3.19,3.61
1963,7,5,3.29,3.68
1963,7,12,3.5,3.76
1963,7,19,3.55,3.78
1963,7,26,3.51,3.79
1963,8,2,3.49,3.76
1963,8,9,3.5,3.75
1963,8,16,3.53,3.77
1963,8,23,3.55,3.77
1963,8,30,3.58,3.79
1963,9,6,3.58,3.81
1963,9,13,3.57,3.81
1963,9,20,3.58,3.83
1963,9,27,3.56,3.82
1963,10,4,3.59,3.82
1963,10,11,3.61,3.84
1963,10,18,3.64,3.86
1963,10,25,3.69,3.89
1963,11,1,3.68,3.92
1963,11,8,3.75,3.96
1963,11,15,3.77,3.96
1963,11,22,3.73,3.94
1963,11,29,3.73,3.94
1963,12,6,3.78,3.97
1963,12,13,3.8,3.99
1963,12,20,3.83,4.04
1963,12,27,3.84,4.05
1964,1,3,3.84,4.06
1964,1,10,3.81,4.06
1964,1,17,3.79,4.04
1964,1,24,3.77,4.02
1964,1,31,3.78,4.01
1964,2,7,3.74,3.98
1964,2,14,3.75,3.98
1964,2,21,3.78,4
1964,2,28,3.86,4.04
1964,3,6,3.91,4.08
1964,3,13,3.9,4.09
1964,3,20,3.9,4.12
1964,3,27,3.94,4.19
1964,4,3,3.95,4.18
1964,4,10,3.93,4.16
1964,4,17,3.93,4.16
1964,4,24,3.89,4.14
1964,5,1,3.85,4.11
1964,5,8,3.86,4.08
1964,5,15,3.82,4.01
1964,5,22,3.84,4.04
1964,5,29,3.84,4.03
1964,6,5,3.84,4.02
1964,6,12,3.85,4.02
1964,6,19,3.85,4.02
1964,6,26,3.82,3.99
1964,7,3,3.79,3.96
1964,7,10,3.75,3.93
1964,7,17,3.67,3.91
1964,7,24,3.71,3.94
1964,7,31,3.7,3.93
1964,8,7,3.7,3.92
1964,8,14,3.74,3.94
1964,8,21,3.75,3.93
1964,8,28,3.77,3.94
1964,9,4,3.83,3.98
1964,9,11,3.86,4.02
1964,9,18,3.85,4.02
1964,9,25,3.82,4
1964,10,2,3.84,4.01
1964,10,9,3.86,4.03
